(beauty salon, dry cleaner) 1
(toilets, fountain) 0.02040816326530612
(toilets, pub) 0.02040816326530612
(toilets, bicycle_repair_station) 0.02040816326530612
(toilets, university) 0.02040816326530612
(vending_machine, toilets) 0.02040816326530612
(picnic_area, toilets) 0.02040816326530612
(toilets, public_bookcase) 0.02040816326530612
(bbq, toilets) 0.02040816326530612
(toilets, casino) 0.02040816326530612
(toilets, ice_cream) 0.02040816326530612
(courthouse, library) 0.02040816326530612
(theatre, library) 0.02040816326530612
(restaurant, dentist) 0.02
(restaurant, public_building) 0.02
(car_wash, fast_food) 0.01935483870967742
(fast_food, dentist) 0.01935483870967742
(restaurant, place_of_worship) 0.019305019305019305
(fire_station, townhall) 0.018518518518518517
(fire_station, parking_entrance) 0.018518518518518517
(nightclub, fire_station) 0.018518518518518517
(fire_station, social_facility) 0.018518518518518517
(townhall, bank) 0.01639344262295082
(theatre, bank) 0.01639344262295082
(events_venue, bank) 0.01639344262295082
(bicycle_parking, fountain) 0.01639344262295082
(bicycle_parking, telephone) 0.01639344262295082
(post_box, bicycle_parking) 0.01639344262295082
(bicycle_parking, police) 0.01639344262295082
(bicycle_parking, picnic_area) 0.01639344262295082
(bicycle_parking, public_bookcase) 0.01639344262295082
(bicycle_parking, parking_entrance) 0.01639344262295082
(ice_cream, bicycle_parking) 0.01639344262295082
(bank, post_office) 0.01639344262295082
(ice_cream, bank) 0.01639344262295082
(public_building, bank) 0.01639344262295082
(bank, dentist) 0.01639344262295082
(car_wash, bank) 0.01639344262295082
(pub, bank) 0.01639344262295082
(bench, post_box) 0.015503875968992248
(bench, community_centre) 0.015503875968992248
(pharmacy, dentist) 0.015384615384615385
(pharmacy, ice_cream) 0.015384615384615385
(parking_entrance, pharmacy) 0.015384615384615385
(theatre, pharmacy) 0.015384615384615385
(pharmacy, car_rental) 0.015384615384615385
(dry cleaner, pharmacy) 0.015384615384615385
(cafe, parking) 0.015165876777251185
(restaurant, dojo) 0.015
(shelter, bicycle_repair_station) 0.014598540145985401
(parking_entrance, shelter) 0.014598540145985401
(drinking_water, shelter) 0.014598540145985401
(bbq, shelter) 0.014598540145985401
(waste_basket, shelter) 0.014598540145985401
(bicycle_parking, shelter) 0.014598540145985401
(pharmacy, parking) 0.013270142180094787
(bicycle_repair_station, cafe) 0.012987012987012988
(yes, cafe) 0.012987012987012988
(cafe, fire_station) 0.012987012987012988
(cafe, conference_centre) 0.012987012987012988
(dentist, cafe) 0.012987012987012988
(cafe, university) 0.012987012987012988
(fast_food, telephone) 0.012903225806451613
(fast_food, ice_cream) 0.012903225806451613
(fast_food, bicycle_rental) 0.012903225806451613
(fast_food, police) 0.012903225806451613
(restaurant, community_centre) 0.0125
(restaurant, arts_centre) 0.0125
(bank, parking) 0.01042654028436019
(bar, waste_basket) 0.010416666666666666
(public_bookcase, bar) 0.010416666666666666
(yes, bar) 0.010416666666666666
(bar, fire_station) 0.010416666666666666
(ice_cream, bar) 0.010416666666666666
(bar, casino) 0.010416666666666666
(bar, post_office) 0.010416666666666666
(fuel, parking) 0.010110584518167456
(clinic, restaurant) 0.01
(public_bookcase, restaurant) 0.01
(restaurant, shelter) 0.01
(restaurant, theatre) 0.01
(pub, parking) 0.009794628751974723
(bicycle_parking, parking) 0.009794628751974723
(shelter, parking) 0.009478672985781991
(fuel, marketplace) 0.009345794392523364
(car_wash, fuel) 0.009345794392523364
(fuel, bank) 0.009345794392523364
(bar, place_of_worship) 0.009009009009009009
(bicycle_rental, parking) 0.007898894154818325
(bench, cinema) 0.007751937984496124
(bench, telephone) 0.007751937984496124
(bench, atm) 0.007751937984496124
(bench, drinking_water) 0.007751937984496124
(bench, planetarium) 0.007751937984496124
(bench, cafe) 0.007751937984496124
(restaurant, yes) 0.0075
(restaurant, bicycle_repair_station) 0.0075
(nightclub, restaurant) 0.0075
(parking_entrance, restaurant) 0.0075
(bar, shelter) 0.0072992700729927005
(public_bookcase, shelter) 0.0072992700729927005
(library, shelter) 0.0072992700729927005
(shelter, theatre) 0.0072992700729927005
(shelter, clinic) 0.0072992700729927005
(pub, fast_food) 0.0064516129032258064
(fast_food, taxi) 0.0064516129032258064
(atm, fast_food) 0.0064516129032258064
(fast_food, bicycle_repair_station) 0.0064516129032258064
(fast_food, food_court) 0.0064516129032258064
(yes, fast_food) 0.0064516129032258064
(fast_food, shelter) 0.0064516129032258064
(fast_food, public_building) 0.0064516129032258064
(fast_food, casino) 0.0064516129032258064
(fast_food, prison) 0.0064516129032258064
(fast_food, veterinary) 0.0064516129032258064
(fast_food, waste_disposal) 0.0064516129032258064
(bench, fast_food) 0.0064516129032258064
(fast_food, theatre) 0.0064516129032258064
(nightclub, fast_food) 0.0064516129032258064
(fast_food, marketplace) 0.0064516129032258064
(fast_food, community_centre) 0.0064516129032258064
(bicycle_parking, place_of_worship) 0.006435006435006435
(cafe, place_of_worship) 0.006435006435006435
(library, parking) 0.00631911532385466
