Duration: 58099 s 
Number of collocations: 754
(('nightclub', 'ice_cream'), 0.09090909090909091)
(('fuel', 'fast_food'), 0.08878504672897196)
(('restaurant', 'ice_cream'), 0.0875)
(('restaurant', 'theatre'), 0.0875)
(('restaurant', 'parking'), 0.08562401263823065)
(('courthouse', 'yes'), 0.08333333333333333)
(('courthouse', 'public_bookcase'), 0.08333333333333333)
(('dentist', 'courthouse'), 0.08333333333333333)
(('nightclub', 'courthouse'), 0.08333333333333333)
(('bank', 'bank'), 0.08196721311475409)
(('bicycle_parking', 'doctors'), 0.08196721311475409)
(('bar', 'bank'), 0.08196721311475409)
(('bicycle_parking', 'picnic_area'), 0.08196721311475409)
(('bicycle_parking', 'parking_entrance'), 0.08196721311475409)
(('public_building', 'library'), 0.08163265306122448)
(('bus_station', 'cafe'), 0.07792207792207792)
(('bench', 'toilets'), 0.07751937984496124)
(('bicycle_repair_station', 'restaurant'), 0.0775)
(('cinema', 'atm'), 0.07692307692307693)
(('drinking_water', 'college'), 0.07692307692307693)
(('pharmacy', 'bicycle_rental'), 0.07692307692307693)
(('ice_cream', 'drinking_water'), 0.07692307692307693)
(('clinic', 'pharmacy'), 0.07692307692307693)
(('atm', 'marketplace'), 0.07692307692307693)
(('dentist', 'restaurant'), 0.075)
(('community_centre', 'atm'), 0.07407407407407407)
(('community_centre', 'dentist'), 0.07407407407407407)
(('post_office', 'police'), 0.07407407407407407)
(('arts_centre', 'bar'), 0.07291666666666667)
(('bar', 'courthouse'), 0.07291666666666667)
(('bar', 'public_building'), 0.07291666666666667)
(('bicycle_parking', 'fast_food'), 0.07096774193548387)
(('theatre', 'events_venue'), 0.06896551724137931)
(('community_centre', 'theatre'), 0.06896551724137931)
(('theatre', 'fountain'), 0.06896551724137931)
(('dentist', 'theatre'), 0.06896551724137931)
(('nightclub', 'theatre'), 0.06896551724137931)
(('bicycle_rental', 'atm'), 0.06818181818181818)
(('bicycle_repair_station', 'bicycle_rental'), 0.06818181818181818)
(('bicycle_rental', 'yes'), 0.06818181818181818)
(('picnic_area', 'bicycle_rental'), 0.06818181818181818)
(('pub', 'pub'), 0.06666666666666667)
(('hospital', 'university'), 0.06666666666666667)
(('courthouse', 'pub'), 0.06666666666666667)
(('townhall', 'pub'), 0.06666666666666667)
(('bank', 'townhall'), 0.06557377049180328)
(('bank', 'pub'), 0.06557377049180328)
(('atm', 'bank'), 0.06557377049180328)
(('bicycle_rental', 'bank'), 0.06557377049180328)
(('bicycle_parking', 'yes'), 0.06557377049180328)
(('bicycle_parking', 'fountain'), 0.06557377049180328)
(('community_centre', 'cafe'), 0.06493506493506493)
(('cafe', 'fountain'), 0.06493506493506493)
(('fast_food', 'pub'), 0.06451612903225806)
(('fast_food', 'bicycle_rental'), 0.06451612903225806)
(('college', 'arts_centre'), 0.0625)
(('nightclub', 'restaurant'), 0.0625)
(('bicycle_repair_station', 'radio_studio'), 0.0625)
(('bicycle_repair_station', 'bar'), 0.0625)
(('picnic_area', 'bicycle_repair_station'), 0.0625)
(('yes', 'bicycle_repair_station'), 0.0625)
(('ice_cream', 'bicycle_repair_station'), 0.0625)
(('fountain', 'bicycle_repair_station'), 0.0625)
(('parking_entrance', 'bicycle_repair_station'), 0.0625)
(('bicycle_repair_station', 'childcare'), 0.0625)
(('bar', 'post_office'), 0.0625)
(('waste_basket', 'bench'), 0.06201550387596899)
(('bench', 'marketplace'), 0.06201550387596899)
(('atm', 'pharmacy'), 0.06153846153846154)
(('parking_entrance', 'pharmacy'), 0.06153846153846154)
(('telephone', 'toilets'), 0.061224489795918366)
(('fuel', 'bank'), 0.06074766355140187)
(('public_building', 'yes'), 0.06060606060606061)
(('public_building', 'picnic_area'), 0.06060606060606061)
(('ice_cream', 'public_building'), 0.06060606060606061)
(('fountain', 'deloitte'), 0.058823529411764705)
(('public_bookcase', 'parking_entrance'), 0.058823529411764705)
(('dentist', 'social_facility'), 0.058823529411764705)
(('dentist', 'beauty salon'), 0.058823529411764705)
(('dentist', 'dry cleaner'), 0.058823529411764705)
(('social_facility', 'beauty salon'), 0.058823529411764705)
(('social_facility', 'dry cleaner'), 0.058823529411764705)
(('dentist', 'bicycle_repair_station'), 0.058823529411764705)
(('dentist', 'studio'), 0.058823529411764705)
(('animal_boarding', 'dentist'), 0.058823529411764705)
(('childcare', 'dentist'), 0.058823529411764705)
(('dentist', 'clinic'), 0.05555555555555555)
(('clinic', 'drinking_water'), 0.05555555555555555)
(('public_building', 'townhall'), 0.05555555555555555)
(('townhall', 'yes'), 0.05555555555555555)
(('townhall', 'college'), 0.05555555555555555)
(('dentist', 'townhall'), 0.05555555555555555)
(('restaurant', 'courthouse'), 0.055)
(('bicycle_rental', 'bench'), 0.05426356589147287)
(('atm', 'university'), 0.05263157894736842)
(('university', 'planetarium'), 0.05263157894736842)
(('university', 'cinema'), 0.05263157894736842)
(('nightclub', 'university'), 0.05263157894736842)
(('public_building', 'university'), 0.05263157894736842)
(('restaurant', 'toilets'), 0.0525)
(('bar', 'pharmacy'), 0.052083333333333336)
(('bar', 'ice_cream'), 0.052083333333333336)
(('library', 'bar'), 0.052083333333333336)
(('bar', 'fountain'), 0.052083333333333336)
