Duration: 919 s 
Number of collocations: 1489
(('outpost', 'outpost'), 1)
(('dentist', 'pharmacy'), 0.05580865603644647)
(('pharmacy', 'clinic'), 0.05580865603644647)
(('parking_entrance', 'bicycle_parking'), 0.05538922155688623)
(('fuel', 'fuel'), 0.05517241379310345)
(('school', 'school'), 0.05485232067510549)
(('parking', 'vending_machine'), 0.05387337790011797)
(('clinic', 'restaurant'), 0.053703703703703705)
(('pharmacy', 'bar'), 0.05353075170842825)
(('toilets', 'cafe'), 0.05309250136836344)
(('clinic', 'cafe'), 0.05309250136836344)
(('parking_entrance', 'restaurant'), 0.05308641975308642)
(('fast_food', 'bicycle_rental'), 0.05307855626326964)
(('waste_basket', 'fast_food'), 0.05307855626326964)
(('toilets', 'bench'), 0.052901571016351394)
(('childcare', 'drinking_water'), 0.05263157894736842)
(('clock', 'clock'), 0.05263157894736842)
(('smoking_area', 'taxi'), 0.05263157894736842)
(('bank', 'clinic'), 0.05128205128205128)
(('toilets', 'pharmacy'), 0.05011389521640091)
(('parking_entrance', 'clinic'), 0.0499001996007984)
(('waste_disposal', 'clinic'), 0.04938271604938271)
(('restaurant', 'waste_disposal'), 0.04938271604938271)
(('vending_machine', 'clinic'), 0.04919786096256684)
(('nightclub', 'bar'), 0.04918032786885246)
(('pharmacy', 'pub'), 0.0489749430523918)
(('waste_disposal', 'bank'), 0.04843304843304843)
(('theatre', 'theatre'), 0.04819277108433735)
(('pharmacy', 'bureau_de_change'), 0.04783599088838269)
(('nightclub', 'hookah_lounge'), 0.047619047619047616)
(('stripclub', 'hookah_lounge'), 0.047619047619047616)
(('bench', 'fountain'), 0.047451106123757615)
(('parking_entrance', 'cafe'), 0.04707170224411604)
(('atm', 'bar'), 0.04606240713224369)
(('coworking_space', 'stripclub'), 0.045454545454545456)
(('food_court', 'studio'), 0.045454545454545456)
(('driving_school', 'security_booth'), 0.045454545454545456)
(('waste_basket', 'cafe'), 0.04542966611932129)
(('dentist', 'bank'), 0.045364891518737675)
(('parking_entrance', 'bank'), 0.045364891518737675)
(('telephone', 'bicycle_parking'), 0.04491017964071856)
(('cafe', 'waste_disposal'), 0.04488232074438971)
(('pharmacy', 'parking'), 0.04482894219425875)
(('fast_food', 'telephone'), 0.044585987261146494)
(('atm', 'clinic'), 0.04457652303120357)
(('atm', 'waste_basket'), 0.04451772464962902)
(('waste_basket', 'pharmacy'), 0.04441913439635535)
(('bench', 'fast_food'), 0.0442449503045848)
(('dentist', 'pub'), 0.04411764705882353)
(('dentist', 'doctors'), 0.04411764705882353)
(('dentist', 'cafe'), 0.043787629994526546)
(('waste_disposal', 'parking_entrance'), 0.04368471035137702)
(('toilets', 'telephone'), 0.04358974358974359)
(('restaurant', 'dentist'), 0.043209876543209874)
(('toilets', 'vending_machine'), 0.0427807486631016)
(('waste_disposal', 'bicycle_parking'), 0.042735042735042736)
(('bureau_de_change', 'post_box'), 0.0425531914893617)
(('clock', 'post_box'), 0.0425531914893617)
(('cafe', 'bicycle_rental'), 0.0421455938697318)
(('restaurant', 'toilets'), 0.04197530864197531)
(('atm', 'parking'), 0.04168305151395989)
(('dentist', 'dentist'), 0.041176470588235294)
(('bicycle_parking', 'parking'), 0.040503342508847816)
(('parking_entrance', 'atm'), 0.04011887072808321)
(('bar', 'bicycle_rental'), 0.04)
(('music_school', 'training'), 0.039603960396039604)
(('bank', 'pub'), 0.03944773175542406)
(('clinic', 'bicycle_parking'), 0.038922155688622756)
(('dentist', 'bicycle_parking'), 0.038922155688622756)
(('bank', 'bench'), 0.03879448541199102)
(('parking_entrance', 'car_wash'), 0.03867403314917127)
(('waste_basket', 'parking'), 0.03853716083366103)
(('post_office', 'bank'), 0.038461538461538464)
(('music_school', 'arts_school'), 0.038461538461538464)
(('bar', 'dentist'), 0.03823529411764706)
(('pub', 'clinic'), 0.03792415169660679)
(('clinic', 'bar'), 0.03792415169660679)
(('library', 'library'), 0.03759398496240601)
(('bank', 'bicycle_rental'), 0.03747534516765286)
(('waste_basket', 'vending_machine'), 0.0374331550802139)
(('bench', 'bicycle_rental'), 0.037191407502404614)
(('restaurant', 'waste_basket'), 0.037037037037037035)
(('bureau_de_change', 'cafe'), 0.03667214012041598)
(('restaurant', 'theatre'), 0.03641975308641975)
(('waste_basket', 'bicycle_rental'), 0.036273701566364384)
(('dentist', 'fast_food'), 0.036093418259023353)
(('doctors', 'clinic'), 0.03592814371257485)
(('car_wash', 'car_wash'), 0.03587443946188341)
(('payment_terminal', 'atm'), 0.03566121842496285)
(('bank', 'bar'), 0.03550295857988166)
(('hospital', 'hospital'), 0.035398230088495575)
(('nightclub', 'food_court'), 0.03508771929824561)
(('pub', 'waste_basket'), 0.03462489694971146)
(('parking', 'fast_food'), 0.03460479748328746)
(('bank', 'waste_basket'), 0.03451676528599606)
(('public_service', 'photo_booth'), 0.034482758620689655)
(('music_school', 'public_service'), 0.034482758620689655)
(('ice_cream', 'device_charging_station'), 0.034482758620689655)
(('food_court', 'marketplace'), 0.034482758620689655)
(('waste_basket', 'fountain'), 0.033800494641384994)
(('toilets', 'bar'), 0.03333333333333333)
(('telephone', 'pharmacy'), 0.03302961275626424)
(('theatre', 'bar'), 0.03278688524590164)
(('pub', 'telephone'), 0.032388663967611336)
(('fast_food', 'waste_disposal'), 0.032288698955365625)
(('bureau_de_change', 'payment_terminal'), 0.03225806451612903)
(('recycling', 'post_office'), 0.03225806451612903)
(('bureau_de_change', 'device_charging_station'), 0.03225806451612903)
(('vending_machine', 'bar'), 0.03208556149732621)
(('bicycle_rental', 'pharmacy'), 0.03189066059225513)
(('payment_terminal', 'fast_food'), 0.03184713375796178)
(('restaurant', 'bicycle_rental'), 0.03148148148148148)
(('dentist', 'atm'), 0.031203566121842496)
(('bench', 'pharmacy'), 0.031099711445976275)
(('parking_entrance', 'parking'), 0.03106567046795124)
(('recycling', 'recycling'), 0.030303030303030304)
(('bicycle_rental', 'telephone'), 0.03)
(('pub', 'bicycle_rental'), 0.03)
(('dentist', 'vending_machine'), 0.029946524064171122)
(('vending_machine', 'parking_entrance'), 0.029946524064171122)
(('hookah_lounge', 'community_centre'), 0.029850746268656716)
(('fast_food', 'cinema'), 0.029723991507430998)
(('atm', 'telephone'), 0.029717682020802376)
(('atm', 'post_box'), 0.029717682020802376)
(('waste_basket', 'telephone'), 0.02967848309975268)
(('parking_entrance', 'dentist'), 0.029411764705882353)
(('fast_food', 'parking_entrance'), 0.028662420382165606)
(('fast_food', 'bureau_de_change'), 0.028662420382165606)
(('waste_disposal', 'kindergarten'), 0.02849002849002849)
(('library', 'bicycle_parking'), 0.02844311377245509)
(('hookah_lounge', 'pub'), 0.02834008097165992)
(('pub', 'nightclub'), 0.02834008097165992)
(('toilets', 'payment_terminal'), 0.028205128205128206)
(('college', 'driving_school'), 0.027777777777777776)
(('waste_disposal', 'dentist'), 0.027540360873694207)
(('pharmacy', 'doctors'), 0.02733485193621868)
(('drinking_water', 'ice_cream'), 0.02702702702702703)
(('drinking_water', 'monastery'), 0.02702702702702703)
(('public_service', 'drinking_water'), 0.02702702702702703)
(('bicycle_parking', 'bureau_de_change'), 0.02694610778443114)
(('bench', 'clinic'), 0.02693170888105162)
(('post_office', 'atm'), 0.02674591381872214)
(('atm', 'bicycle_rental'), 0.02674591381872214)
(('atm', 'bureau_de_change'), 0.02674591381872214)
(('atm', 'pub'), 0.02674591381872214)
(('bicycle_rental', 'post_box'), 0.02666666666666667)
(('marketplace', 'fast_food'), 0.02653927813163482)
(('clinic', 'parking'), 0.02634683444750295)
(('telephone', 'taxi'), 0.02631578947368421)
(('telephone', 'device_charging_station'), 0.02631578947368421)
(('stripclub', 'clock'), 0.02631578947368421)
(('clock', 'charging_station'), 0.02631578947368421)
(('cafe', 'theatre'), 0.026272577996715927)
(('bar', 'hookah_lounge'), 0.02622950819672131)
(('bench', 'atm'), 0.025969862135299775)
(('post_office', 'bureau_de_change'), 0.025806451612903226)
(('vending_machine', 'payment_terminal'), 0.025668449197860963)
(('toilets', 'device_charging_station'), 0.02564102564102564)
(('telephone', 'bank'), 0.02564102564102564)
(('toilets', 'fuel'), 0.02564102564102564)
(('fast_food', 'food_court'), 0.025477707006369428)
(('dentist', 'parking'), 0.025167125442390876)
