Duration: 79 s 

Number of collocations: 1208

(('ferry_terminal', 'ferry_terminal'), 1)
(('fire_station', 'bicycle_rental'), 0.05555555555555555)
(('fire_station', 'theatre'), 0.05555555555555555)
(('fire_station', 'pub'), 0.05555555555555555)
(('fire_station', 'community_centre'), 0.05555555555555555)
(('clinic', 'drinking_water'), 0.05555555555555555)
(('clinic', 'pub'), 0.05555555555555555)
(('fountain', 'townhall'), 0.05555555555555555)
(('deloitte', 'townhall'), 0.05555555555555555)
(('parking_entrance', 'townhall'), 0.05555555555555555)
(('townhall', 'yes'), 0.05555555555555555)
(('townhall', 'college'), 0.05555555555555555)
(('townhall', 'car_rental'), 0.05555555555555555)
(('nightclub', 'townhall'), 0.05555555555555555)
(('dentist', 'townhall'), 0.05555555555555555)
(('vending_machine', 'townhall'), 0.05555555555555555)
(('car_wash', 'clinic'), 0.05555555555555555)
(('restaurant', 'university'), 0.055)
(('restaurant', 'yes'), 0.055)
(('restaurant', 'dojo'), 0.055)
(('bench', 'cinema'), 0.05426356589147287)
(('bench', 'theatre'), 0.05426356589147287)
(('bench', 'clinic'), 0.05426356589147287)
(('bench', 'vending_machine'), 0.05426356589147287)
(('place_of_worship', 'fire_station'), 0.05405405405405406)
(('toilets', 'parking'), 0.05339652448657188)
(('social_facility', 'university'), 0.05263157894736842)
(('ice_cream', 'university'), 0.05263157894736842)
(('atm', 'university'), 0.05263157894736842)
(('cinema', 'university'), 0.05263157894736842)
(('vending_machine', 'university'), 0.05263157894736842)
(('parking_entrance', 'university'), 0.05263157894736842)
(('public_bookcase', 'university'), 0.05263157894736842)
(('university', 'planetarium'), 0.05263157894736842)
(('public_bookcase', 'bar'), 0.052083333333333336)
(('bar', 'studio'), 0.052083333333333336)
(('cafe', 'bus_station'), 0.05194805194805195)
(('cafe', 'townhall'), 0.05194805194805195)
(('cafe', 'fire_station'), 0.05194805194805195)
(('cafe', 'post_office'), 0.05194805194805195)
(('cafe', 'dentist'), 0.05194805194805195)
(('dojo', 'cafe'), 0.05194805194805195)
(('toilets', 'fast_food'), 0.05161290322580645)
(('fuel', 'post_office'), 0.0514018691588785)
(('fuel', 'police'), 0.0514018691588785)
(('drinking_water', 'shelter'), 0.051094890510948905)
(('fountain', 'shelter'), 0.051094890510948905)
(('shelter', 'fire_station'), 0.051094890510948905)
(('bar', 'shelter'), 0.051094890510948905)
(('bicycle_parking', 'shelter'), 0.051094890510948905)
(('waste_disposal', 'post_box'), 0.05)
(('arts_centre', 'post_box'), 0.05)
(('doctors', 'social_facility'), 0.05)
(('doctors', 'fountain'), 0.05)
(('townhall', 'doctors'), 0.05)
(('courthouse', 'doctors'), 0.05)
(('doctors', 'bus_station'), 0.05)
(('veterinary', 'doctors'), 0.05)
(('post_box', 'social_facility'), 0.05)
(('atm', 'post_box'), 0.05)
(('restaurant', 'casino'), 0.05)
(('atm', 'doctors'), 0.05)
(('doctors', 'university'), 0.05)
(('post_box', 'drinking_water'), 0.05)
(('bicycle_repair_station', 'post_box'), 0.05)
(('food_court', 'post_box'), 0.05)
(('pub', 'post_box'), 0.05)
(('bicycle_rental', 'post_box'), 0.05)
(('post_box', 'yes'), 0.05)
(('post_box', 'courthouse'), 0.05)
(('healthcare', 'doctors'), 0.05)
(('toilets', 'bank'), 0.04918032786885246)
(('marketplace', 'bank'), 0.04918032786885246)
(('waste_basket', 'bank'), 0.04918032786885246)
(('bench', 'bank'), 0.04918032786885246)
(('bicycle_parking', 'arts_centre'), 0.04918032786885246)
(('bicycle_parking', 'marketplace'), 0.04918032786885246)
(('bank', 'post_office'), 0.04918032786885246)
(('bank', 'dojo'), 0.04918032786885246)
(('place_of_worship', 'pharmacy'), 0.047619047619047616)
(('bench', 'public_building'), 0.046511627906976744)
(('bank', 'place_of_worship'), 0.04633204633204633)
(('townhall', 'pharmacy'), 0.046153846153846156)
(('marketplace', 'pharmacy'), 0.046153846153846156)
(('drinking_water', 'pharmacy'), 0.046153846153846156)
(('atm', 'pharmacy'), 0.046153846153846156)
(('pharmacy', 'hospital'), 0.046153846153846156)
(('pharmacy', 'fountain'), 0.046153846153846156)
(('pharmacy', 'ice_cream'), 0.046153846153846156)
(('pharmacy', 'pub'), 0.046153846153846156)
(('pharmacy', 'sorority'), 0.046153846153846156)
(('pharmacy', 'car_rental'), 0.046153846153846156)
(('atm', 'parking'), 0.04549763033175355)
(('post_office', 'doctors'), 0.045454545454545456)
(('veterinary', 'post_office'), 0.045454545454545456)
(('parking_entrance', 'post_office'), 0.045454545454545456)
(('atm', 'post_office'), 0.045454545454545456)
(('studio', 'post_office'), 0.045454545454545456)
(('bicycle_rental', 'casino'), 0.045454545454545456)
(('bicycle_rental', 'vending_machine'), 0.045454545454545456)
(('bicycle_rental', 'townhall'), 0.045454545454545456)
(('post_office', 'car_wash'), 0.045454545454545456)
(('post_office', 'ice_cream'), 0.045454545454545456)
(('nightclub', 'parking'), 0.04518167456556082)
(('atm', 'fast_food'), 0.04516129032258064)
(('parking_entrance', 'fast_food'), 0.04516129032258064)
(('theatre', 'fast_food'), 0.04516129032258064)
(('shelter', 'bicycle_repair_station'), 0.043795620437956206)
(('ice_cream', 'shelter'), 0.043795620437956206)
(('community_centre', 'parking'), 0.043601895734597156)
(('hospital', 'parking'), 0.04265402843601896)
(('restaurant', 'drinking_water'), 0.0425)
(('restaurant', 'car_wash'), 0.0425)
(('restaurant', 'waste_basket'), 0.0425)
(('fast_food', 'school'), 0.04236200256739409)
(('clinic', 'bar'), 0.041666666666666664)
(('waste_basket', 'bar'), 0.041666666666666664)
(('bar', 'casino'), 0.041666666666666664)
(('bar', 'marketplace'), 0.041666666666666664)
(('bicycle_rental', 'place_of_worship'), 0.04118404118404118)
(('atm', 'toilets'), 0.04081632653061224)
(('library', 'cinema'), 0.04081632653061224)
(('vending_machine', 'library'), 0.04081632653061224)
(('parking_entrance', 'library'), 0.04081632653061224)
(('ice_cream', 'library'), 0.04081632653061224)
(('clinic', 'library'), 0.04081632653061224)
(('library', 'college'), 0.04081632653061224)
(('library', 'community_centre'), 0.04081632653061224)
(('post_office', 'library'), 0.04081632653061224)
(('university', 'library'), 0.04081632653061224)
(('marketplace', 'restaurant'), 0.04)
(('waste_basket', 'bus_station'), 0.04)
(('bicycle_repair_station', 'waste_basket'), 0.04)
(('food_court', 'waste_basket'), 0.04)
(('bicycle_rental', 'waste_basket'), 0.04)
(('fountain', 'waste_basket'), 0.04)
(('deloitte', 'waste_basket'), 0.04)
(('waste_basket', 'townhall'), 0.04)
(('waste_basket', 'yes'), 0.04)
(('waste_basket', 'courthouse'), 0.04)
(('restaurant', 'prison'), 0.04)
(('waste_basket', 'car_wash'), 0.04)
(('shelter', 'place_of_worship'), 0.039897039897039896)
(('school', 'pharmacy'), 0.03979460847240052)
(('cafe', 'hospital'), 0.03896103896103896)
(('cafe', 'yes'), 0.03896103896103896)
(('cafe', 'prison'), 0.03896103896103896)
(('bench', 'pub'), 0.03875968992248062)
(('bench', 'casino'), 0.03875968992248062)
(('fast_food', 'bench'), 0.03870967741935484)
(('fast_food', 'police'), 0.03870967741935484)
(('fast_food', 'courthouse'), 0.03870967741935484)
(('fast_food', 'shelter'), 0.03870967741935484)
(('fast_food', 'community_centre'), 0.03870967741935484)
(('restaurant', 'doctors'), 0.0375)
(('pub', 'fuel'), 0.037383177570093455)
(('telephone', 'community_centre'), 0.037037037037037035)
(('arts_centre', 'police'), 0.037037037037037035)
(('bicycle_parking', 'fire_station'), 0.037037037037037035)
(('fire_station', 'social_facility'), 0.037037037037037035)
(('events_venue', 'community_centre'), 0.037037037037037035)
(('bicycle_repair_station', 'police'), 0.037037037037037035)
(('police', 'fountain'), 0.037037037037037035)
(('police', 'casino'), 0.037037037037037035)
(('bicycle_repair_station', 'community_centre'), 0.037037037037037035)
(('vending_machine', 'community_centre'), 0.037037037037037035)
(('parking_entrance', 'police'), 0.037037037037037035)
(('toilets', 'police'), 0.037037037037037035)
(('bbq', 'police'), 0.037037037037037035)
(('marketplace', 'community_centre'), 0.037037037037037035)
(('townhall', 'community_centre'), 0.037037037037037035)
(('police', 'veterinary'), 0.037037037037037035)
(('community_centre', 'dojo'), 0.037037037037037035)
(('community_centre', 'ice_cream'), 0.037037037037037035)
(('dentist', 'police'), 0.037037037037037035)
(('vending_machine', 'police'), 0.037037037037037035)
(('cinema', 'community_centre'), 0.037037037037037035)
(('car_wash', 'community_centre'), 0.037037037037037035)
(('university', 'police'), 0.037037037037037035)
(('car_wash', 'police'), 0.037037037037037035)
(('clinic', 'community_centre'), 0.037037037037037035)
(('prison', 'police'), 0.037037037037037035)
(('pub', 'police'), 0.037037037037037035)
(('fountain', 'parking'), 0.03696682464454976)
(('cafe', 'shelter'), 0.0364963503649635)
(('shelter', 'bank'), 0.0364963503649635)
(('pharmacy', 'shelter'), 0.0364963503649635)
(('bbq', 'shelter'), 0.0364963503649635)
(('police', 'shelter'), 0.0364963503649635)
(('ice_cream', 'parking'), 0.036334913112164295)
(('place_of_worship', 'library'), 0.036036036036036036)
(('courthouse', 'parking'), 0.035071090047393366)
(('school', 'shelter'), 0.03465982028241335)
(('social_facility', 'theatre'), 0.034482758620689655)
(('theatre', 'car_rental'), 0.034482758620689655)
(('dojo', 'theatre'), 0.034482758620689655)
(('townhall', 'theatre'), 0.034482758620689655)
(('theatre', 'casino'), 0.034482758620689655)
(('bicycle_parking', 'place_of_worship'), 0.03346203346203346)
(('telephone', 'pub'), 0.03333333333333333)
(('toilets', 'pub'), 0.03333333333333333)
(('pub', 'taxi'), 0.03333333333333333)
(('waste_disposal', 'hospital'), 0.03333333333333333)
(('pub', 'public_bookcase'), 0.03333333333333333)
(('drinking_water', 'pub'), 0.03333333333333333)
(('theatre', 'hospital'), 0.03333333333333333)
(('events_venue', 'hospital'), 0.03333333333333333)
(('events_venue', 'pub'), 0.03333333333333333)
(('waste_basket', 'pub'), 0.03333333333333333)
(('yes', 'pub'), 0.03333333333333333)
(('ice_cream', 'hospital'), 0.03333333333333333)
(('dojo', 'pub'), 0.03333333333333333)
(('cinema', 'pub'), 0.03333333333333333)
(('pub', 'university'), 0.03333333333333333)
(('hospital', 'social_facility'), 0.03333333333333333)
(('hospital', 'police'), 0.03333333333333333)
(('social_facility', 'bicycle_parking'), 0.03278688524590164)
(('bicycle_parking', 'events_venue'), 0.03278688524590164)
(('bank', 'university'), 0.03278688524590164)
(('bicycle_parking', 'hospital'), 0.03278688524590164)
(('bicycle_parking', 'doctors'), 0.03278688524590164)
(('deloitte', 'bicycle_parking'), 0.03278688524590164)
(('bank', 'yes'), 0.03278688524590164)
(('bank', 'courthouse'), 0.03278688524590164)
(('bicycle_parking', 'studio'), 0.03278688524590164)
(('bank', 'bicycle_repair_station'), 0.03278688524590164)
(('fuel', 'townhall'), 0.03271028037383177)
(('bicycle_rental', 'fuel'), 0.03271028037383177)
(('dentist', 'fuel'), 0.03271028037383177)
(('bicycle_repair_station', 'parking'), 0.0325434439178515)
(('vending_machine', 'restaurant'), 0.0325)
(('townhall', 'fast_food'), 0.03225806451612903)
(('marketplace', 'fast_food'), 0.03225806451612903)
(('waste_basket', 'fast_food'), 0.03225806451612903)
(('fast_food', 'university'), 0.03225806451612903)
(('fast_food', 'public_bookcase'), 0.03225806451612903)
(('place_of_worship', 'community_centre'), 0.032175032175032175)
(('drinking_water', 'bar'), 0.03125)
(('toilets', 'bar'), 0.03125)
(('bar', 'prison'), 0.03125)
(('bar', 'animal_boarding'), 0.03125)
(('bar', 'car_wash'), 0.03125)
(('studio', 'bench'), 0.031007751937984496)
(('bench', 'bus_station'), 0.031007751937984496)
(('bench', 'bbq'), 0.031007751937984496)
(('cafe', 'school'), 0.03080872913992298)
(('pharmacy', 'toilets'), 0.03076923076923077)
(('pharmacy', 'bicycle_repair_station'), 0.03076923076923077)
(('pharmacy', 'bench'), 0.03076923076923077)
(('pharmacy', 'public_building'), 0.03076923076923077)
(('parking', 'doctors'), 0.03033175355450237)
(('vending_machine', 'public_building'), 0.030303030303030304)
(('community_centre', 'public_building'), 0.030303030303030304)
(('food_court', 'public_building'), 0.030303030303030304)
(('waste_basket', 'public_building'), 0.030303030303030304)
(('drinking_water', 'public_building'), 0.030303030303030304)
(('bbq', 'public_building'), 0.030303030303030304)
(('public_building', 'social_facility'), 0.030303030303030304)
(('public_building', 'post_office'), 0.030303030303030304)
(('public_building', 'prison'), 0.030303030303030304)
(('swimming_pool', 'public_building'), 0.030303030303030304)
(('arts_centre', 'parking'), 0.030015797788309637)
(('restaurant', 'hospital'), 0.03)
(('pub', 'place_of_worship'), 0.029601029601029602)
(('bench', 'place_of_worship'), 0.029601029601029602)
(('nightclub', 'shelter'), 0.029197080291970802)
(('parking_entrance', 'shelter'), 0.029197080291970802)
(('public_bookcase', 'shelter'), 0.029197080291970802)
(('post_box', 'parking'), 0.029067930489731438)
(('school', 'bank'), 0.028241335044929396)
(('school', 'bar'), 0.028241335044929396)
(('bicycle_parking', 'fuel'), 0.028037383177570093)
(('townhall', 'clinic'), 0.027777777777777776)
(('courthouse', 'clinic'), 0.027777777777777776)
(('waste_basket', 'clinic'), 0.027777777777777776)
(('police', 'clinic'), 0.027777777777777776)
(('clinic', 'events_venue'), 0.027777777777777776)
(('clinic', 'animal_boarding'), 0.027777777777777776)
(('clinic', 'social_facility'), 0.027777777777777776)
(('college', 'clinic'), 0.027777777777777776)
(('clinic', 'place_of_worship'), 0.02702702702702703)
(('cafe', 'drinking_water'), 0.025974025974025976)
(('cafe', 'atm'), 0.025974025974025976)
(('cafe', 'doctors'), 0.025974025974025976)
(('cafe', 'food_court'), 0.025974025974025976)
(('cafe', 'waste_basket'), 0.025974025974025976)
(('cafe', 'conference_centre'), 0.025974025974025976)
(('cafe', 'vending_machine'), 0.025974025974025976)
(('dentist', 'parking'), 0.02590837282780411)
(('doctors', 'fast_food'), 0.025806451612903226)
(('fast_food', 'hospital'), 0.025806451612903226)
(('fast_food', 'arts_centre'), 0.025806451612903226)
(('fast_food', 'picnic_area'), 0.025806451612903226)
(('fast_food', 'yes'), 0.025806451612903226)
(('bench', 'school'), 0.025673940949935817)
(('drinking_water', 'parking'), 0.02527646129541864)
(('restaurant', 'bus_station'), 0.025)
(('parking', 'casino'), 0.024960505529225907)
(('school', 'community_centre'), 0.024390243902439025)
(('bicycle_rental', 'school'), 0.024390243902439025)
(('townhall', 'parking'), 0.023696682464454975)
(('post_box', 'fuel'), 0.02336448598130841)
(('veterinary', 'fuel'), 0.02336448598130841)
(('bench', 'telephone'), 0.023255813953488372)
(('bench', 'fire_station'), 0.023255813953488372)
(('bench', 'courthouse'), 0.023255813953488372)
(('parking_entrance', 'bench'), 0.023255813953488372)
(('bicycle_rental', 'car_wash'), 0.022727272727272728)
(('doctors', 'bicycle_rental'), 0.022727272727272728)
(('bicycle_rental', 'planetarium'), 0.022727272727272728)
(('bicycle_rental', 'college'), 0.022727272727272728)
(('food_court', 'bicycle_rental'), 0.022727272727272728)
(('bicycle_rental', 'studio'), 0.022727272727272728)
(('bicycle_rental', 'marketplace'), 0.022727272727272728)
(('bicycle_rental', 'car_rental'), 0.022727272727272728)
(('bicycle_rental', 'conference_centre'), 0.022727272727272728)
(('restaurant', 'cinema'), 0.0225)
(('post_office', 'parking'), 0.022116903633491312)
(('shelter', 'vending_machine'), 0.021897810218978103)
(('shelter', 'university'), 0.021897810218978103)
(('shelter', 'clinic'), 0.021897810218978103)
(('school', 'bicycle_parking'), 0.021822849807445442)
(('bus_station', 'parking'), 0.021800947867298578)
(('waste_basket', 'parking'), 0.021800947867298578)
(('studio', 'parking'), 0.021800947867298578)
(('veterinary', 'bar'), 0.020833333333333332)
(('atm', 'bar'), 0.020833333333333332)
(('bar', 'yes'), 0.020833333333333332)
(('conference_centre', 'bar'), 0.020833333333333332)
(('bar', 'university'), 0.020833333333333332)
(('place_of_worship', 'car_wash'), 0.02059202059202059)
(('school', 'library'), 0.02053915275994865)
(('fire_station', 'school'), 0.02053915275994865)
(('cinema', 'parking'), 0.020537124802527645)
(('toilets', 'college'), 0.02040816326530612)
(('cafe', 'toilets'), 0.02040816326530612)
(('deloitte', 'library'), 0.02040816326530612)
(('library', 'yes'), 0.02040816326530612)
(('picnic_area', 'toilets'), 0.02040816326530612)
(('toilets', 'public_bookcase'), 0.02040816326530612)
(('toilets', 'yes'), 0.02040816326530612)
(('toilets', 'courthouse'), 0.02040816326530612)
(('library', 'atm'), 0.02040816326530612)
(('toilets', 'marketplace'), 0.02040816326530612)
(('toilets', 'social_facility'), 0.02040816326530612)
(('toilets', 'dentist'), 0.02040816326530612)
(('toilets', 'clinic'), 0.02040816326530612)
(('dentist', 'library'), 0.02040816326530612)
(('nightclub', 'library'), 0.02040816326530612)
(('office', 'toilets'), 0.02040816326530612)
(('library', 'waste_basket'), 0.02040816326530612)
(('arts_centre', 'library'), 0.02040816326530612)
(('car_wash', 'library'), 0.02040816326530612)
(('library', 'veterinary'), 0.02040816326530612)
(('restaurant', 'studio'), 0.02)
(('events_venue', 'restaurant'), 0.02)
(('parking', 'prison'), 0.019589257503949447)
(('fast_food', 'studio'), 0.01935483870967742)
(('drinking_water', 'fast_food'), 0.01935483870967742)
(('vending_machine', 'fast_food'), 0.01935483870967742)
(('fast_food', 'social_facility'), 0.01935483870967742)
(('fast_food', 'veterinary'), 0.01935483870967742)
(('cinema', 'fast_food'), 0.01935483870967742)
(('place_of_worship', 'post_office'), 0.019305019305019305)
(('public_bookcase', 'parking'), 0.019273301737756713)
(('school', 'police'), 0.019255455712451863)
(('studio', 'fuel'), 0.018691588785046728)
(('doctors', 'fuel'), 0.018691588785046728)
(('ice_cream', 'fuel'), 0.018691588785046728)
(('waste_basket', 'fuel'), 0.018691588785046728)
(('fuel', 'shelter'), 0.018691588785046728)
(('clinic', 'fuel'), 0.018691588785046728)
(('waste_disposal', 'parking'), 0.01864139020537125)
(('social_facility', 'parking'), 0.01864139020537125)
(('parking', 'college'), 0.01864139020537125)
(('fire_station', 'atm'), 0.018518518518518517)
(('fire_station', 'waste_basket'), 0.018518518518518517)
(('fire_station', 'post_box'), 0.018518518518518517)
(('fire_station', 'bus_station'), 0.018518518518518517)
(('fire_station', 'ice_cream'), 0.018518518518518517)
(('fire_station', 'drinking_water'), 0.018518518518518517)
(('fire_station', 'cinema'), 0.018518518518518517)
(('fire_station', 'arts_centre'), 0.018518518518518517)
(('nightclub', 'fire_station'), 0.018518518518518517)
(('public_bookcase', 'fire_station'), 0.018518518518518517)
(('veterinary', 'fire_station'), 0.018518518518518517)
(('ice_cream', 'place_of_worship'), 0.018018018018018018)
(('place_of_worship', 'theatre'), 0.018018018018018018)
(('hospital', 'place_of_worship'), 0.018018018018018018)
(('restaurant', 'college'), 0.0175)
(('restaurant', 'veterinary'), 0.0175)
(('nightclub', 'place_of_worship'), 0.01673101673101673)
(('place_of_worship', 'dentist'), 0.01673101673101673)
(('school', 'clinic'), 0.01668806161745828)
(('bicycle_parking', 'car_wash'), 0.01639344262295082)
(('drinking_water', 'bank'), 0.01639344262295082)
(('bicycle_parking', 'telephone'), 0.01639344262295082)
(('picnic_area', 'bank'), 0.01639344262295082)
(('public_bookcase', 'bank'), 0.01639344262295082)
(('bank', 'bus_station'), 0.01639344262295082)
(('sorority', 'bank'), 0.01639344262295082)
(('bank', 'car_rental'), 0.01639344262295082)
(('bicycle_parking', 'post_office'), 0.01639344262295082)
(('bicycle_parking', 'dentist'), 0.01639344262295082)
(('bicycle_parking', 'vending_machine'), 0.01639344262295082)
(('bank', 'vending_machine'), 0.01639344262295082)
(('bank', 'casino'), 0.01639344262295082)
(('bank', 'studio'), 0.01639344262295082)
(('bank', 'social_facility'), 0.01639344262295082)
(('bench', 'ice_cream'), 0.015503875968992248)
(('police', 'place_of_worship'), 0.015444015444015444)
(('studio', 'pharmacy'), 0.015384615384615385)
(('courthouse', 'pharmacy'), 0.015384615384615385)
(('events_venue', 'pharmacy'), 0.015384615384615385)
(('pharmacy', 'arts_centre'), 0.015384615384615385)
(('pharmacy', 'bus_station'), 0.015384615384615385)
(('picnic_area', 'pharmacy'), 0.015384615384615385)
(('public_bookcase', 'pharmacy'), 0.015384615384615385)
(('yes', 'pharmacy'), 0.015384615384615385)
(('social_facility', 'pharmacy'), 0.015384615384615385)
(('beauty salon', 'pharmacy'), 0.015384615384615385)
(('pharmacy', 'rail'), 0.015384615384615385)
(('pharmacy', 'waste_disposal'), 0.015384615384615385)
(('pharmacy', 'community_centre'), 0.015384615384615385)
(('planetarium', 'pharmacy'), 0.015384615384615385)
(('dry cleaner', 'pharmacy'), 0.015384615384615385)
(('cinema', 'pharmacy'), 0.015384615384615385)
(('waste_basket', 'shelter'), 0.014598540145985401)
(('library', 'shelter'), 0.014598540145985401)
(('shelter', 'pub'), 0.014598540145985401)
(('townhall', 'place_of_worship'), 0.014157014157014158)
(('place_of_worship', 'post_box'), 0.014157014157014158)
(('place_of_worship', 'university'), 0.014157014157014158)
(('fuel', 'bus_station'), 0.014018691588785047)
(('cinema', 'fuel'), 0.014018691588785047)
(('fuel', 'bench'), 0.014018691588785047)
(('vending_machine', 'fuel'), 0.014018691588785047)
(('fuel', 'courthouse'), 0.014018691588785047)
(('social_facility', 'fuel'), 0.014018691588785047)
(('theatre', 'fuel'), 0.014018691588785047)
(('vending_machine', 'parking'), 0.013586097946287519)
(('cafe', 'college'), 0.012987012987012988)
(('events_venue', 'cafe'), 0.012987012987012988)
(('cafe', 'planetarium'), 0.012987012987012988)
(('cafe', 'telephone'), 0.012987012987012988)
(('cafe', 'marketplace'), 0.012987012987012988)
(('cafe', 'cinema'), 0.012987012987012988)
(('car_wash', 'cafe'), 0.012987012987012988)
(('veterinary', 'cafe'), 0.012987012987012988)
(('cafe', 'rail'), 0.012987012987012988)
(('cafe', 'waste_disposal'), 0.012987012987012988)
(('cafe', 'car_rental'), 0.012987012987012988)
(('childcare', 'cafe'), 0.012987012987012988)
(('animal_boarding', 'cafe'), 0.012987012987012988)
(('waste_disposal', 'fast_food'), 0.012903225806451613)
(('telephone', 'fast_food'), 0.012903225806451613)
(('bus_station', 'fast_food'), 0.012903225806451613)
(('events_venue', 'fast_food'), 0.012903225806451613)
(('fast_food', 'food_court'), 0.012903225806451613)
(('fast_food', 'casino'), 0.012903225806451613)
(('fast_food', 'prison'), 0.012903225806451613)
(('fast_food', 'dojo'), 0.012903225806451613)
(('place_of_worship', 'arts_centre'), 0.01287001287001287)
(('waste_disposal', 'restaurant'), 0.0125)
(('restaurant', 'telephone'), 0.0125)
(('car_wash', 'parking'), 0.011374407582938388)
(('events_venue', 'bar'), 0.010416666666666666)
(('food_court', 'bar'), 0.010416666666666666)
(('bar', 'picnic_area'), 0.010416666666666666)
(('bar', 'childcare'), 0.010416666666666666)
(('doctors', 'bar'), 0.010416666666666666)
(('bar', 'college'), 0.010416666666666666)
(('bar', 'recycling'), 0.010416666666666666)
(('rail', 'bar'), 0.010416666666666666)
(('waste_disposal', 'bar'), 0.010416666666666666)
(('veterinary', 'place_of_worship'), 0.010296010296010296)
(('social_facility', 'place_of_worship'), 0.010296010296010296)
(('toilets', 'place_of_worship'), 0.010296010296010296)
(('place_of_worship', 'doctors'), 0.010296010296010296)
(('public_building', 'place_of_worship'), 0.010296010296010296)
(('toilets', 'school'), 0.010269576379974325)
(('school', 'hospital'), 0.010269576379974325)
(('school', 'social_facility'), 0.010269576379974325)
(('conference_centre', 'parking'), 0.010110584518167456)
(('parking', 'car_rental'), 0.009478672985781991)
(('bicycle_repair_station', 'fuel'), 0.009345794392523364)
(('fuel', 'hospital'), 0.009345794392523364)
(('fuel', 'marketplace'), 0.009345794392523364)
(('fuel', 'childcare'), 0.009345794392523364)
(('university', 'fuel'), 0.009345794392523364)
(('fuel', 'prison'), 0.009345794392523364)
(('marketplace', 'parking'), 0.009162717219589257)
(('parking', 'rail'), 0.009162717219589257)
(('bicycle_repair_station', 'place_of_worship'), 0.009009009009009009)
(('courthouse', 'place_of_worship'), 0.009009009009009009)
(('post_office', 'school'), 0.008985879332477536)
(('theatre', 'school'), 0.008985879332477536)
(('school', 'university'), 0.008985879332477536)
(('school', 'courthouse'), 0.008985879332477536)
(('events_venue', 'parking'), 0.008846761453396525)
(('bench', 'college'), 0.007751937984496124)
(('bench', 'planetarium'), 0.007751937984496124)
(('bench', 'picnic_area'), 0.007751937984496124)
(('bench', 'public_bookcase'), 0.007751937984496124)
(('bench', 'dentist'), 0.007751937984496124)
(('bench', 'post_office'), 0.007751937984496124)
(('parking_entrance', 'place_of_worship'), 0.007722007722007722)
(('place_of_worship', 'grave_yard'), 0.007722007722007722)
(('place_of_worship', 'casino'), 0.007722007722007722)
(('bicycle_repair_station', 'school'), 0.007702182284980745)
(('taxi', 'restaurant'), 0.0075)
(('food_court', 'restaurant'), 0.0075)
(('restaurant', 'social_facility'), 0.0075)
(('telephone', 'shelter'), 0.0072992700729927005)
(('clock', 'shelter'), 0.0072992700729927005)
(('courthouse', 'shelter'), 0.0072992700729927005)
(('shelter', 'monestary'), 0.0072992700729927005)
(('shelter', 'college'), 0.0072992700729927005)
(('shelter', 'cinema'), 0.0072992700729927005)
(('casino', 'shelter'), 0.0072992700729927005)
(('shelter', 'swimming_pool'), 0.0072992700729927005)
(('shelter', 'childcare'), 0.0072992700729927005)
(('parking', 'childcare'), 0.0069510268562401265)
(('parking', 'planetarium'), 0.006635071090047393)
(('fast_food', 'taxi'), 0.0064516129032258064)
(('fast_food', 'car_rental'), 0.0064516129032258064)
(('conference_centre', 'fast_food'), 0.0064516129032258064)
(('fast_food', 'rail'), 0.0064516129032258064)
(('fast_food', 'animal_boarding'), 0.0064516129032258064)
(('fast_food', 'college'), 0.0064516129032258064)
(('grave_yard', 'fast_food'), 0.0064516129032258064)
(('fast_food', 'recycling'), 0.0064516129032258064)
(('fast_food', 'childcare'), 0.0064516129032258064)
(('nightclub', 'school'), 0.006418485237483954)
(('school', 'ice_cream'), 0.006418485237483954)
(('school', 'planetarium'), 0.006418485237483954)
(('veterinary', 'parking'), 0.00631911532385466)
(('picnic_area', 'parking'), 0.005687203791469194)
(('parking', 'kindergarten'), 0.005371248025276461)
(('place_of_worship', 'marketplace'), 0.005148005148005148)
(('public_bookcase', 'place_of_worship'), 0.005148005148005148)
(('childcare', 'place_of_worship'), 0.005148005148005148)
(('place_of_worship', 'prison'), 0.005148005148005148)
(('school', 'bus_station'), 0.005134788189987163)
(('school', 'car_wash'), 0.005134788189987163)
(('school', 'cinema'), 0.005134788189987163)
(('post_box', 'school'), 0.005134788189987163)
(('school', 'kindergarten'), 0.005134788189987163)
(('beauty salon', 'parking'), 0.005055292259083728)
(('restaurant', 'radio_studio'), 0.005)
(('restaurant', 'car_rental'), 0.005)
(('sorority', 'restaurant'), 0.005)
(('conference_centre', 'restaurant'), 0.005)
(('restaurant', 'rail'), 0.005)
(('restaurant', 'animal_boarding'), 0.005)
(('yes', 'parking'), 0.004739336492890996)
(('fuel', 'kindergarten'), 0.004672897196261682)
(('events_venue', 'fuel'), 0.004672897196261682)
(('parking_entrance', 'fuel'), 0.004672897196261682)
(('atm', 'fuel'), 0.004672897196261682)
(('drinking_water', 'fuel'), 0.004672897196261682)
(('fuel', 'telephone'), 0.004672897196261682)
(('fuel', 'public_building'), 0.004672897196261682)
(('beauty salon', 'fuel'), 0.004672897196261682)
(('toilets', 'fuel'), 0.004672897196261682)
(('grave_yard', 'fuel'), 0.004672897196261682)
(('fuel', 'nightclub'), 0.004672897196261682)
(('community_centre', 'fuel'), 0.004672897196261682)
(('fuel', 'recycling'), 0.004672897196261682)
(('fuel', 'arts_centre'), 0.004672897196261682)
(('fuel', 'donuts'), 0.004672897196261682)
(('parking', 'dry cleaner'), 0.0044233807266982625)
