Duration: 799 s 

Number of collocations: 2297

(('feeding_place', 'feeding_place'), 1)
(('waste_disposal', 'bicycle_parking'), 0.15479582146248813)
(('vending_machine', 'clinic'), 0.15080213903743314)
(('dentist', 'parking_entrance'), 0.15)
(('post_box', 'post_office'), 0.14838709677419354)
(('parking_entrance', 'cafe'), 0.1477832512315271)
(('fast_food', 'pub'), 0.1464968152866242)
(('waste_disposal', 'clinic'), 0.1452991452991453)
(('dentist', 'pharmacy'), 0.14236902050113895)
(('pharmacy', 'clinic'), 0.14236902050113895)
(('waste_disposal', 'kindergarten'), 0.14150047483380818)
(('bank', 'dentist'), 0.14102564102564102)
(('bicycle_parking', 'parking_entrance'), 0.1407185628742515)
(('college', 'college'), 0.1388888888888889)
(('marketplace', 'marketplace'), 0.13793103448275862)
(('bureau_de_change', 'pub'), 0.13765182186234817)
(('bicycle_parking', 'pub'), 0.13622754491017963)
(('cafe', 'dentist'), 0.13519430760810072)
(('bank', 'parking_entrance'), 0.1341222879684418)
(('restaurant', 'bicycle_rental'), 0.1339506172839506)
(('bicycle_parking', 'clinic'), 0.13373253493013973)
(('toilets', 'pharmacy'), 0.13325740318906606)
(('dentist', 'dentist'), 0.1323529411764706)
(('bicycle_parking', 'dentist'), 0.1317365269461078)
(('waste_basket', 'fast_food'), 0.1316348195329087)
(('place_of_worship', 'monastery'), 0.13150684931506848)
(('restaurant', 'toilets'), 0.1308641975308642)
(('bench', 'bicycle_rental'), 0.12888746393074704)
(('post_box', 'post_box'), 0.1276595744680851)
(('bank', 'bicycle_rental'), 0.12721893491124261)
(('nightclub', 'hookah_lounge'), 0.12698412698412698)
(('bicycle_rental', 'atm'), 0.1263001485884101)
(('atm', 'parking'), 0.12504915454187968)
(('hookah_lounge', 'bar'), 0.12459016393442623)
(('pharmacy', 'pub'), 0.12414578587699317)
(('clinic', 'parking_entrance'), 0.12375249500998003)
(('bar', 'bicycle_rental'), 0.12333333333333334)
(('fast_food', 'waste_disposal'), 0.1225071225071225)
(('restaurant', 'dentist'), 0.12222222222222222)
(('bicycle_rental', 'pharmacy'), 0.12186788154897495)
(('theatre', 'bar'), 0.12131147540983607)
(('bank', 'bar'), 0.12130177514792899)
(('parking_entrance', 'atm'), 0.12035661218424963)
(('pub', 'bank'), 0.11834319526627218)
(('bicycle_rental', 'waste_basket'), 0.11788953009068426)
(('cafe', 'waste_basket'), 0.11658456486042693)
(('parking', 'fast_food'), 0.1163979551710578)
(('clinic', 'bench'), 0.11478037832638666)
(('atm', 'clinic'), 0.11441307578008915)
(('telephone', 'post_box'), 0.11403508771929824)
(('doctors', 'doctors'), 0.11347517730496454)
(('kindergarten', 'school'), 0.11332007952286283)
(('toilets', 'place_of_worship'), 0.11282051282051282)
(('clinic', 'bar'), 0.11177644710578842)
(('pharmacy', 'bar'), 0.11161731207289294)
(('nightclub', 'bar'), 0.11147540983606558)
(('atm', 'waste_basket'), 0.11144130757800892)
(('kick-scooter_rental', 'coworking_space'), 0.1111111111111111)
(('parking_entrance', 'bar'), 0.11049723756906077)
(('atm', 'bar'), 0.1099554234769688)
(('restaurant', 'theatre'), 0.10864197530864197)
(('waste_disposal', 'school'), 0.10826210826210826)
(('waste_disposal', 'dentist'), 0.10731244064577398)
(('atm', 'bench'), 0.10676498877845464)
(('waste_disposal', 'parking_entrance'), 0.1063627730294397)
(('recycling', 'recycling'), 0.10606060606060606)
(('dentist', 'pub'), 0.10588235294117647)
(('pub', 'clinic'), 0.10578842315369262)
(('pub', 'telephone'), 0.10526315789473684)
(('childcare', 'childcare'), 0.10526315789473684)
(('bar', 'toilets'), 0.10512820512820513)
(('restaurant', 'waste_basket'), 0.10432098765432099)
(('school', 'clinic'), 0.10379241516966067)
(('fast_food', 'parking_entrance'), 0.1029723991507431)
(('toilets', 'telephone'), 0.10256410256410256)
(('fast_food', 'telephone'), 0.10191082802547771)
(('bicycle_parking', 'parking'), 0.10184821077467558)
(('vending_machine', 'toilets'), 0.10160427807486631)
(('hookah_lounge', 'pub'), 0.10121457489878542)
(('dentist', 'doctors'), 0.1)
(('vending_machine', 'dentist'), 0.09946524064171124)
(('waste_basket', 'pharmacy'), 0.0979498861047836)
(('bar', 'dentist'), 0.09705882352941177)
(('bureau_de_change', 'bureau_de_change'), 0.0967741935483871)
(('bench', 'fountain'), 0.09650529015710163)
(('bureau_de_change', 'post_box'), 0.09574468085106383)
(('restaurant', 'place_of_worship'), 0.09506172839506173)
(('parking_entrance', 'pub'), 0.09392265193370165)
(('dentist', 'atm'), 0.09361069836552749)
(('police', 'police'), 0.09302325581395349)
(('pub', 'waste_basket'), 0.09150865622423743)
(('vending_machine', 'waste_basket'), 0.09090909090909091)
(('driving_school', 'driving_school'), 0.09090909090909091)
(('studio', 'office'), 0.09090909090909091)
(('townhall', 'mortuary'), 0.09090909090909091)
(('vending_machine', 'bar'), 0.08983957219251337)
(('vending_machine', 'parking_entrance'), 0.08983957219251337)
(('community_centre', 'community_centre'), 0.08955223880597014)
(('bench', 'bar'), 0.08945174735492145)
(('waste_disposal', 'atm'), 0.0892687559354226)
(('clinic', 'parking'), 0.08926464805348014)
(('pharmacy', 'bureau_de_change'), 0.0888382687927107)
(('bank', 'waste_basket'), 0.08875739644970414)
(('car_wash', 'parking_entrance'), 0.08839779005524862)
(('bicycle_parking', 'telephone'), 0.08832335329341318)
(('telephone', 'payment_terminal'), 0.08771929824561403)
(('bench', 'dentist'), 0.08752805386341776)
(('parking_entrance', 'bench'), 0.08720743828150049)
(('cafe', 'place_of_worship'), 0.08702791461412152)
(('kindergarten', 'parking'), 0.086905230043256)
(('bureau_de_change', 'payment_terminal'), 0.08602150537634409)
(('clinic', 'fast_food'), 0.08598726114649681)
(('dentist', 'parking'), 0.08572552103814393)
(('bar', 'place_of_worship'), 0.08493150684931507)
(('waste_basket', 'parking'), 0.08415257569799449)
(('bicycle_parking', 'theatre'), 0.08383233532934131)
(('post_office', 'bank'), 0.08382642998027613)
(('theatre', 'cafe'), 0.08374384236453201)
(('bicycle_rental', 'pub'), 0.08333333333333333)
(('ferry_terminal', 'rescue_station'), 0.08333333333333333)
(('fuel', 'fuel'), 0.08275862068965517)
(('bar', 'bureau_de_change'), 0.08196721311475409)
(('doctors', 'clinic'), 0.08183632734530938)
(('waste_basket', 'bar'), 0.08161582852431987)
(('parking_entrance', 'parking'), 0.081399921352733)
(('drinking_water', 'ice_cream'), 0.08108108108108109)
(('pub', 'theatre'), 0.08097165991902834)
(('car_wash', 'car_wash'), 0.08071748878923767)
(('toilets', 'pub'), 0.07948717948717948)
(('bicycle_parking', 'place_of_worship'), 0.07934131736526946)
(('training', 'training'), 0.07920792079207921)
(('pharmacy', 'kindergarten'), 0.0785876993166287)
(('fast_food', 'dentist'), 0.07855626326963906)
(('clinic', 'waste_basket'), 0.07784431137724551)
(('post_office', 'library'), 0.07741935483870968)
(('bureau_de_change', 'post_office'), 0.07741935483870968)
(('telephone', 'atm'), 0.07726597325408618)
(('bank', 'kindergarten'), 0.07692307692307693)
(('pub', 'nightclub'), 0.07692307692307693)
(('device_charging_station', 'boat_rental'), 0.07692307692307693)
(('action_house', 'music_school'), 0.07692307692307693)
(('musical_school', 'music_school'), 0.07692307692307693)
(('money_transfer', 'device_charging_station'), 0.07692307692307693)
(('music_school', 'music_school'), 0.07692307692307693)
(('bicycle_parking', 'university'), 0.07634730538922156)
(('bicycle_rental', 'vending_machine'), 0.07593582887700535)
