Duration: 950 s 
Number of collocations: 3582
(('feeding_place', 'feeding_place'), 1)
(('payment_terminal', 'payment_terminal'), 0.4482758620689655)
(('cafe', 'pub'), 0.44499178981937604)
(('dentist', 'waste_disposal'), 0.4444444444444444)
(('clinic', 'kindergarten'), 0.4433399602385686)
(('dentist', 'pharmacy'), 0.4430523917995444)
(('pharmacy', 'school'), 0.4407744874715262)
(('parking_entrance', 'cafe'), 0.43842364532019706)
(('restaurant', 'toilets'), 0.43580246913580245)
(('waste_disposal', 'bicycle_parking'), 0.4349477682811016)
(('bench', 'atm'), 0.4331516511702469)
(('pharmacy', 'kindergarten'), 0.4305239179954442)
(('school', 'school'), 0.43037974683544306)
(('bicycle_rental', 'toilets'), 0.43)
(('clinic', 'bench'), 0.4280218018595704)
(('restaurant', 'place_of_worship'), 0.4271604938271605)
(('vending_machine', 'school'), 0.42566844919786095)
(('bank', 'parking_entrance'), 0.4250493096646943)
(('bar', 'bicycle_parking'), 0.4236526946107784)
(('bicycle_rental', 'atm'), 0.42199108469539376)
(('toilets', 'cafe'), 0.41762452107279696)
(('atm', 'parking'), 0.41525756979944944)
(('atm', 'waste_disposal'), 0.4121557454890788)
(('bar', 'parking_entrance'), 0.4088397790055249)
(('school', 'clinic'), 0.40717299578059074)
(('dentist', 'bicycle_rental'), 0.4066666666666667)
(('fast_food', 'parking'), 0.4038537160833661)
(('nightclub', 'nightclub'), 0.40350877192982454)
(('waste_disposal', 'fast_food'), 0.402659069325736)
(('clinic', 'parking'), 0.4018875344081793)
(('university', 'university'), 0.4016393442622951)
(('bicycle_rental', 'clinic'), 0.40119760479041916)
(('waste_disposal', 'waste_basket'), 0.39886039886039887)
(('bench', 'dentist'), 0.3982045527412632)
(('bank', 'kindergarten'), 0.3974358974358974)
(('dentist', 'parking_entrance'), 0.39705882352941174)
(('toilets', 'atm'), 0.3967310549777117)
(('bicycle_rental', 'pharmacy'), 0.3929384965831435)
(('pub', 'theatre'), 0.39271255060728744)
(('vending_machine', 'dentist'), 0.3925133689839572)
(('clinic', 'fast_food'), 0.39171974522292996)
(('kindergarten', 'parking'), 0.3893039716869839)
(('fast_food', 'bar'), 0.3853503184713376)
(('bank', 'pub'), 0.38461538461538464)
(('bar', 'theatre'), 0.3836065573770492)
(('fast_food', 'pub'), 0.3821656050955414)
(('bicycle_parking', 'place_of_worship'), 0.38173652694610777)
(('hookah_lounge', 'hookah_lounge'), 0.38095238095238093)
(('dentist', 'kindergarten'), 0.3797216699801193)
(('waste_basket', 'toilets'), 0.37948717948717947)
(('restaurant', 'school'), 0.3734567901234568)
(('bar', 'bank'), 0.3717948717948718)
(('school', 'parking'), 0.37121510027526544)
(('cafe', 'school'), 0.3700054734537493)
(('atm', 'dentist'), 0.3684992570579495)
(('cafe', 'place_of_worship'), 0.36617405582922824)
(('vending_machine', 'kindergarten'), 0.36470588235294116)
(('bicycle_rental', 'vending_machine'), 0.36363636363636365)
(('toilets', 'pharmacy'), 0.36332574031890663)
(('fast_food', 'dentist'), 0.3630573248407643)
(('parking_entrance', 'clinic'), 0.36127744510978044)
(('atm', 'parking_entrance'), 0.3610698365527489)
(('bicycle_parking', 'pub'), 0.36077844311377244)
(('dentist', 'bar'), 0.3588235294117647)
(('clinic', 'place_of_worship'), 0.35528942115768464)
(('clinic', 'bar'), 0.35129740518962077)
(('nightclub', 'hookah_lounge'), 0.3492063492063492)
(('toilets', 'place_of_worship'), 0.3487179487179487)
(('school', 'bench'), 0.3475472907983328)
(('bank', 'place_of_worship'), 0.34516765285996054)
(('fast_food', 'parking_entrance'), 0.34501061571125263)
(('waste_basket', 'fast_food'), 0.34394904458598724)
(('parking_entrance', 'waste_disposal'), 0.34377967711301044)
(('bicycle_parking', 'parking'), 0.34211561148250097)
(('bench', 'parking_entrance'), 0.34209682590573903)
(('theatre', 'restaurant'), 0.341358024691358)
(('bar', 'bicycle_rental'), 0.34)
(('waste_disposal', 'bicycle_rental'), 0.33998100664767333)
(('bicycle_parking', 'university'), 0.3383233532934132)
