Duration: 258 s 
Number of collocations: 2217
(('payment_terminal', 'payment_terminal'), 1)
(('cinema', 'bureau_de_change'), 0.3793103448275862)
(('shelter', 'waste_disposal'), 0.376453488372093)
(('shelter', 'restaurant'), 0.37209302325581395)
(('pharmacy', 'fast_food'), 0.37155963302752293)
(('cafe', 'stripclub'), 0.3712121212121212)
(('bicycle_parking', 'vending_machine'), 0.3707865168539326)
(('bar', 'embassy'), 0.37037037037037035)
(('nightclub', 'bank'), 0.37012987012987014)
(('kindergarten', 'waste_disposal'), 0.369727047146402)
(('pharmacy', 'post_office'), 0.3669724770642202)
(('cafe', 'taxi'), 0.36619718309859156)
(('nightclub', 'restaurant'), 0.36619718309859156)
(('nightclub', 'fountain'), 0.3611111111111111)
(('pharmacy', 'shelter'), 0.36046511627906974)
(('post_office', 'fast_food'), 0.36)
(('nightclub', 'language_school;offices'), 0.36)
(('car_wash', 'car_wash'), 0.358974358974359)
(('place_of_worship', 'restaurant'), 0.35772357723577236)
(('fountain', 'bank'), 0.35714285714285715)
(('vending_machine', 'taxi'), 0.35602094240837695)
(('hospital', 'hospital'), 0.3548387096774194)
(('pub', 'language_school;offices'), 0.35294117647058826)
(('taxi', 'taxi'), 0.352112676056338)
(('bicycle_parking', 'pharmacy'), 0.3486238532110092)
(('atm', 'school'), 0.3483606557377049)
(('atm', 'bench'), 0.3471698113207547)
(('embassy', 'fast_food'), 0.3464052287581699)
(('police', 'police'), 0.34615384615384615)
(('embassy', 'bureau_de_change'), 0.3448275862068966)
(('bureau_de_change', 'pub'), 0.3448275862068966)
(('nightclub', 'bureau_de_change'), 0.3448275862068966)
(('kindergarten', 'school'), 0.3442622950819672)
(('community_centre', 'community_centre'), 0.34375)
(('post_office', 'waste_disposal'), 0.3424317617866005)
(('restaurant', 'parking'), 0.3421965317919075)
(('nightclub', 'fast_food'), 0.33986928104575165)
(('parking', 'school'), 0.3388934764657308)
(('restaurant', 'school'), 0.3360655737704918)
(('drinking_water', 'embassy'), 0.3333333333333333)
(('studio', 'townhall'), 0.3333333333333333)
(('ferry_terminal', 'ferry_terminal'), 0.3333333333333333)
(('nightclub', 'townhall'), 0.3333333333333333)
(('bar', 'townhall'), 0.3333333333333333)
(('pub', 'townhall'), 0.3333333333333333)
(('drinking_water', 'townhall'), 0.3333333333333333)
(('courthouse', 'prison'), 0.3333333333333333)
(('post_office', 'atm'), 0.3320754716981132)
(('atm', 'taxi'), 0.3320754716981132)
(('bench', 'restaurant'), 0.33203125)
(('parking', 'bicycle_rental'), 0.3319570602807597)
(('bicycle_parking', 'cafe'), 0.33146067415730335)
(('shelter', 'bank'), 0.32703488372093026)
(('restaurant', 'library'), 0.3267605633802817)
(('restaurant', 'public_building'), 0.323943661971831)
(('library', 'library'), 0.3220338983050847)
(('cafe', 'library'), 0.3220338983050847)
(('fast_food', 'pub'), 0.3202614379084967)
(('taxi', 'shelter'), 0.31976744186046513)
(('vending_machine', 'toilets'), 0.3193717277486911)
(('cafe', 'bicycle_rental'), 0.3185840707964602)
(('restaurant', 'community_centre'), 0.3183098591549296)
(('bar', 'cafe'), 0.3181818181818182)
(('bicycle_parking', 'toilets'), 0.31741573033707865)
(('bicycle_rental', 'place_of_worship'), 0.3170731707317073)
(('atm', 'cafe'), 0.3169811320754717)
(('school', 'place_of_worship'), 0.3155737704918033)
(('shelter', 'fast_food'), 0.31540697674418605)
(('bicycle_parking', 'place_of_worship'), 0.3146067415730337)
(('post_office', 'recycling'), 0.31399317406143346)
(('bench', 'waste_basket'), 0.3138020833333333)
(('shelter', 'bench'), 0.3125)
(('bar', 'language_school;offices'), 0.3125)
(('bureau_de_change', 'fountain'), 0.3103448275862069)
(('bureau_de_change', 'theatre'), 0.3103448275862069)
(('pharmacy', 'kindergarten'), 0.3073394495412844)
(('bench', 'bicycle_rental'), 0.3072916666666667)
(('parking_entrance', 'bicycle_parking'), 0.3061797752808989)
(('recycling', 'kindergarten'), 0.3046875)
(('doctors', 'doctors'), 0.30434782608695654)
(('parking_entrance', 'restaurant'), 0.30303030303030304)
(('toilets', 'fast_food'), 0.3006535947712418)
(('bicycle_parking', 'fountain'), 0.300561797752809)
(('bicycle_rental', 'waste_disposal'), 0.3002481389578164)
(('parking', 'bank'), 0.2995871180842279)
(('bicycle_rental', 'school'), 0.29918032786885246)
(('bank', 'police'), 0.2987012987012987)
(('shelter', 'school'), 0.29796511627906974)
(('bicycle_parking', 'recycling'), 0.29775280898876405)
(('bicycle_parking', 'school'), 0.29508196721311475)
(('pharmacy', 'bench'), 0.29357798165137616)
(('post_office', 'bicycle_rental'), 0.2920353982300885)
(('bicycle_rental', 'parking_entrance'), 0.2920353982300885)
(('fast_food', 'fountain'), 0.2875816993464052)
(('telephone', 'language_school'), 0.2857142857142857)
(('telephone', 'telephone'), 0.2857142857142857)
(('place_of_worship', 'place_of_worship'), 0.2845528455284553)
(('bar', 'restaurant'), 0.28450704225352114)
(('pharmacy', 'vending_machine'), 0.28440366972477066)
(('atm', 'place_of_worship'), 0.2830188679245283)
(('restaurant', 'police'), 0.28169014084507044)
(('bureau_de_change', 'taxi'), 0.28169014084507044)
(('parking', 'kindergarten'), 0.2810900082576383)
(('library', 'bicycle_parking'), 0.2808988764044944)
(('taxi', 'post_office'), 0.28)
(('nightclub', 'telephone'), 0.28)
(('parking_entrance', 'fast_food'), 0.2787878787878788)
(('vending_machine', 'place_of_worship'), 0.2764227642276423)
(('pharmacy', 'doctors'), 0.27522935779816515)
(('pharmacy', 'place_of_worship'), 0.27522935779816515)
(('public_building', 'fast_food'), 0.27450980392156865)
(('restaurant', 'waste_disposal'), 0.2729528535980149)
(('bank', 'cinema'), 0.2727272727272727)
(('bank', 'theatre'), 0.2727272727272727)
(('bank', 'vending_machine'), 0.27225130890052357)
(('parking', 'vending_machine'), 0.27200660611065236)
(('atm', 'recycling'), 0.27169811320754716)
(('pharmacy', 'taxi'), 0.2706422018348624)
(('recycling', 'bank'), 0.2696245733788396)
(('cafe', 'public_building'), 0.2682926829268293)
(('fast_food', 'library'), 0.2679738562091503)
(('atm', 'bureau_de_change'), 0.2679245283018868)
(('atm', 'parking_entrance'), 0.2679245283018868)
(('bicycle_parking', 'pub'), 0.26685393258426965)
(('toilets', 'taxi'), 0.26666666666666666)
(('clock', 'pub'), 0.26666666666666666)
(('bar', 'clock'), 0.26666666666666666)
(('theatre', 'theatre'), 0.26666666666666666)
(('school', 'waste_disposal'), 0.26639344262295084)
(('parking', 'fast_food'), 0.26457473162675477)
(('bench', 'recycling'), 0.2643229166666667)
(('restaurant', 'stripclub'), 0.2619718309859155)
(('fuel', 'fuel'), 0.26136363636363635)
(('parking_entrance', 'vending_machine'), 0.2606060606060606)
(('clock', 'embassy'), 0.25925925925925924)
(('embassy', 'language_school;offices'), 0.25925925925925924)
(('parking', 'post_office'), 0.2584640792733278)
(('doctors', 'kindergarten'), 0.2578125)
(('cafe', 'townhall'), 0.25757575757575757)
(('parking_entrance', 'parking'), 0.2566473988439306)
(('toilets', 'bicycle_rental'), 0.25663716814159293)
(('waste_disposal', 'bank'), 0.2555831265508685)
(('community_centre', 'fast_food'), 0.2549019607843137)
(('library', 'fountain'), 0.2542372881355932)
(('bicycle_parking', 'bureau_de_change'), 0.25280898876404495)
(('luggage_locker', 'bus_station'), 0.25)
(('bus_station', 'studio'), 0.25)
(('bbq', 'car_rental'), 0.25)
(('stripclub', 'language_school'), 0.25)
(('cinema', 'cinema'), 0.25)
(('telephone', 'courthouse'), 0.25)
(('bar', 'fountain'), 0.25)
(('bus_station', 'biergarten'), 0.25)
(('taxi', 'waste_disposal'), 0.2456575682382134)
