Duration: 216 s 

Number of collocations: 1488

(('payment_terminal', 'payment_terminal'), 1)
(('waste_basket', 'taxi'), 0.03937007874015748)
(('waste_basket', 'university'), 0.03937007874015748)
(('library', 'parking'), 0.03930635838150289)
(('pub', 'parking'), 0.03930635838150289)
(('fast_food', 'language_school'), 0.0392156862745098)
(('fast_food', 'clock'), 0.0392156862745098)
(('fast_food', 'drinking_water'), 0.0392156862745098)
(('bank', 'kindergarten'), 0.0390625)
(('bench', 'toilets'), 0.0390625)
(('library', 'kindergarten'), 0.0390625)
(('theatre', 'bench'), 0.0390625)
(('veterinary', 'car_wash'), 0.038461538461538464)
(('police', 'marketplace'), 0.038461538461538464)
(('police', 'courthouse'), 0.038461538461538464)
(('music_school', 'police'), 0.038461538461538464)
(('telephone', 'police'), 0.038461538461538464)
(('police', 'ice_cream'), 0.038461538461538464)
(('police', 'language_school'), 0.038461538461538464)
(('bicycle_repair_station', 'police'), 0.038461538461538464)
(('bar', 'police'), 0.038461538461538464)
(('police', 'theatre'), 0.038461538461538464)
(('police', 'arts_centre'), 0.038461538461538464)
(('police', 'hospital'), 0.038461538461538464)
(('police', 'clock'), 0.038461538461538464)
(('police', 'fire_station'), 0.038461538461538464)
(('clinic', 'cafe'), 0.03787878787878788)
(('bench', 'vending_machine'), 0.037760416666666664)
(('atm', 'community_centre'), 0.03773584905660377)
(('atm', 'police'), 0.03773584905660377)
(('cinema', 'embassy'), 0.037037037037037035)
(('embassy', 'ice_cream'), 0.037037037037037035)
(('embassy', 'clock'), 0.037037037037037035)
(('embassy', 'social_facility'), 0.037037037037037035)
(('embassy', 'fire_station'), 0.037037037037037035)
(('kindergarten', 'pharmacy'), 0.03669724770642202)
(('cinema', 'restaurant'), 0.036619718309859155)
(('telephone', 'restaurant'), 0.036619718309859155)
(('bench', 'doctors'), 0.036458333333333336)
(('parking_entrance', 'taxi'), 0.03636363636363636)
(('bicycle_rental', 'bar'), 0.035398230088495575)
(('bicycle_rental', 'marketplace'), 0.035398230088495575)
(('embassy', 'bicycle_rental'), 0.035398230088495575)
(('telephone', 'bicycle_rental'), 0.035398230088495575)
(('ice_cream', 'bicycle_rental'), 0.035398230088495575)
(('bench', 'fuel'), 0.03515625)
(('doctors', 'shelter'), 0.03488372093023256)
(('bureau_de_change', 'shelter'), 0.03488372093023256)
(('waste_disposal', 'place_of_worship'), 0.034739454094292806)
(('library', 'waste_disposal'), 0.034739454094292806)
(('taxi', 'waste_disposal'), 0.034739454094292806)
(('bicycle_repair_station', 'bureau_de_change'), 0.034482758620689655)
(('luggage_locker', 'bureau_de_change'), 0.034482758620689655)
(('bureau_de_change', 'bus_station'), 0.034482758620689655)
(('bureau_de_change', 'marketplace'), 0.034482758620689655)
(('telephone', 'bureau_de_change'), 0.034482758620689655)
(('police', 'bureau_de_change'), 0.034482758620689655)
(('stripclub', 'bureau_de_change'), 0.034482758620689655)
(('bureau_de_change', 'arts_centre'), 0.034482758620689655)
(('bureau_de_change', 'clinic'), 0.034482758620689655)
(('bar', 'bureau_de_change'), 0.034482758620689655)
(('pub', 'bureau_de_change'), 0.034482758620689655)
(('bureau_de_change', 'townhall'), 0.034482758620689655)
(('parking_space', 'bureau_de_change'), 0.034482758620689655)
(('recycling', 'library'), 0.034129692832764506)
(('library', 'veterinary'), 0.03389830508474576)
(('embassy', 'library'), 0.03389830508474576)
(('language_school', 'library'), 0.03389830508474576)
(('bureau_de_change', 'library'), 0.03389830508474576)
(('library', 'theatre'), 0.03389830508474576)
(('pub', 'library'), 0.03389830508474576)
(('library', 'university'), 0.03389830508474576)
(('university', 'parking'), 0.033856317093311314)
(('restaurant', 'clock'), 0.03380281690140845)
(('restaurant', 'language_school;offices'), 0.03380281690140845)
(('restaurant', 'monastery'), 0.03380281690140845)
(('bicycle_parking', 'clock'), 0.033707865168539325)
(('bicycle_parking', 'ice_cream'), 0.033707865168539325)
(('bicycle_repair_station', 'shelter'), 0.03343023255813953)
(('post_box', 'charging_station'), 0.03333333333333333)
(('embassy', 'post_box'), 0.03333333333333333)
(('veterinary', 'post_box'), 0.03333333333333333)
(('post_box', 'bureau_de_change'), 0.03333333333333333)
(('doctors', 'fast_food'), 0.032679738562091505)
(('fast_food', 'bicycle_repair_station'), 0.032679738562091505)
(('ice_cream', 'fast_food'), 0.032679738562091505)
(('fast_food', 'language_school;offices'), 0.032679738562091505)
(('toilets', 'place_of_worship'), 0.032520325203252036)
(('bicycle_rental', 'place_of_worship'), 0.032520325203252036)
(('bar', 'place_of_worship'), 0.032520325203252036)
(('place_of_worship', 'hospital'), 0.032520325203252036)
(('marketplace', 'place_of_worship'), 0.032520325203252036)
(('parking_space', 'bank'), 0.032467532467532464)
(('community_centre', 'bank'), 0.032467532467532464)
(('bank', 'telephone'), 0.032467532467532464)
(('waste_disposal', 'doctors'), 0.03225806451612903)
(('nursing_home', 'hospital'), 0.03225806451612903)
(('hospital', 'fire_station'), 0.03225806451612903)
(('pharmacy', 'bar'), 0.03211009174311927)
(('pharmacy', 'waste_basket'), 0.03211009174311927)
(('pharmacy', 'clinic'), 0.03211009174311927)
(('pharmacy', 'embassy'), 0.03211009174311927)
(('police', 'pharmacy'), 0.03211009174311927)
(('vending_machine', 'bus_station'), 0.031413612565445025)
(('bench', 'place_of_worship'), 0.03125)
(('community_centre', 'fire_station'), 0.03125)
(('kindergarten', 'vending_machine'), 0.03125)
(('post_office', 'kindergarten'), 0.03125)
(('charging_station', 'bar'), 0.03125)
(('kindergarten', 'place_of_worship'), 0.03125)
(('community_centre', 'courthouse'), 0.03125)
(('waste_basket', 'kindergarten'), 0.03125)
(('boat_rental', 'bar'), 0.03125)
(('bar', 'bbq]'), 0.03125)
(('veterinary', 'community_centre'), 0.03125)
(('dojo', 'bar'), 0.03125)
(('bar', 'studio'), 0.03125)
(('kindergarten', 'public_building'), 0.03125)
(('police', 'community_centre'), 0.03125)
(('bar', 'monastery'), 0.03125)
(('language_school;offices', 'community_centre'), 0.03125)
(('community_centre', 'drinking_water'), 0.03125)
(('bar', 'townhall'), 0.03125)
(('bar', 'library'), 0.03125)
(('bar', 'fire_station'), 0.03125)
(('community_centre', 'townhall'), 0.03125)
(('vehicle_ramp', 'bar'), 0.03125)
(('community_centre', 'marketplace'), 0.03125)
(('bbq', 'community_centre'), 0.03125)
(('restaurant', 'language_school'), 0.030985915492957747)
(('bicycle_parking', 'doctors'), 0.03089887640449438)
(('post_box', 'recycling'), 0.030716723549488054)
(('car_wash', 'shelter'), 0.030523255813953487)
(('veterinary', 'cafe'), 0.030303030303030304)
(('bicycle_repair_station', 'cafe'), 0.030303030303030304)
(('parking_entrance', 'bicycle_rental'), 0.030303030303030304)
(('cafe', 'bus_station'), 0.030303030303030304)
(('theatre', 'cafe'), 0.030303030303030304)
(('parking_entrance', 'fountain'), 0.030303030303030304)
(('clock', 'parking_entrance'), 0.030303030303030304)
(('cafe', 'language_school;offices'), 0.030303030303030304)
(('atm', 'hospital'), 0.03018867924528302)
(('atm', 'bus_station'), 0.03018867924528302)
(('atm', 'parking_space'), 0.03018867924528302)
(('fuel', 'parking'), 0.03005780346820809)
(('bench', 'kindergarten'), 0.029947916666666668)
(('community_centre', 'waste_disposal'), 0.02977667493796526)
(('doctors', 'community_centre'), 0.028985507246376812)
(('doctors', 'veterinary'), 0.028985507246376812)
(('doctors', 'bicycle_repair_station'), 0.028985507246376812)
(('doctors', 'library'), 0.028985507246376812)
(('bench', 'clock'), 0.028645833333333332)
(('bureau_de_change', 'parking'), 0.02857142857142857)
(('toilets', 'parking'), 0.0282411230388109)
(('bicycle_repair_station', 'restaurant'), 0.028169014084507043)
(('dentist', 'restaurant'), 0.028169014084507043)
(('recycling', 'restaurant'), 0.028169014084507043)
(('clock', 'taxi'), 0.028169014084507043)
(('parking_space', 'restaurant'), 0.028169014084507043)
(('taxi', 'cinema'), 0.028169014084507043)
(('taxi', 'marketplace'), 0.028169014084507043)
(('theatre', 'taxi'), 0.028169014084507043)
(('bicycle_repair_station', 'taxi'), 0.028169014084507043)
(('taxi', 'telephone'), 0.028169014084507043)
(('embassy', 'taxi'), 0.028169014084507043)
(('taxi', 'university'), 0.028169014084507043)
(('public_building', 'taxi'), 0.028169014084507043)
(('bicycle_parking', 'telephone'), 0.028089887640449437)
(('bicycle_parking', 'police'), 0.028089887640449437)
(('fountain', 'hospital'), 0.027777777777777776)
(('studio', 'fountain'), 0.027777777777777776)
(('library', 'fountain'), 0.027777777777777776)
(('telephone', 'fountain'), 0.027777777777777776)
(('language_school;offices', 'fountain'), 0.027777777777777776)
(('social_facility', 'fountain'), 0.027777777777777776)
(('police', 'fountain'), 0.027777777777777776)
(('theatre', 'fountain'), 0.027777777777777776)
(('fountain', 'ice_cream'), 0.027777777777777776)
(('fountain', 'research_institute'), 0.027777777777777776)
(('pharmacy', 'car_wash'), 0.027522935779816515)
(('pharmacy', 'university'), 0.027522935779816515)
(('pharmacy', 'ice_cream'), 0.027522935779816515)
(('pharmacy', 'nightclub'), 0.027522935779816515)
(('bench', 'taxi'), 0.02734375)
(('bench', 'food_court'), 0.02734375)
(('toilets', 'waste_disposal'), 0.02729528535980149)
(('waste_disposal', 'marketplace'), 0.02729528535980149)
(('fountain', 'parking'), 0.026754748142031378)
(('drinking_water', 'toilets'), 0.02666666666666667)
(('toilets', 'boat_rental'), 0.02666666666666667)
(('toilets', 'townhall'), 0.02666666666666667)
(('hospital', 'post_office'), 0.02666666666666667)
(('toilets', 'luggage_locker'), 0.02666666666666667)
(('toilets', 'embassy'), 0.02666666666666667)
(('post_office', 'toilets'), 0.02666666666666667)
(('post_office', 'theatre'), 0.02666666666666667)
(('post_office', 'post_office'), 0.02666666666666667)
(('nightclub', 'toilets'), 0.02666666666666667)
(('toilets', 'vacuum_cleaner'), 0.02666666666666667)
(('studio', 'toilets'), 0.02666666666666667)
(('post_office', 'university'), 0.02666666666666667)
(('post_office', 'clinic'), 0.02666666666666667)
(('pub', 'post_office'), 0.02666666666666667)
(('post_office', 'bar'), 0.02666666666666667)
(('post_office', 'monastery'), 0.02666666666666667)
(('toilets', 'theatre'), 0.02666666666666667)
(('bicycle_rental', 'bus_station'), 0.02654867256637168)
(('nightclub', 'bicycle_rental'), 0.02654867256637168)
(('community_centre', 'bicycle_rental'), 0.02654867256637168)
(('bicycle_rental', 'theatre'), 0.02654867256637168)
(('atm', 'charging_station'), 0.026415094339622643)
(('bicycle_repair_station', 'atm'), 0.026415094339622643)
(('atm', 'ice_cream'), 0.026415094339622643)
(('atm', 'language_school'), 0.026415094339622643)
(('community_centre', 'dentist'), 0.02631578947368421)
(('telephone', 'dentist'), 0.02631578947368421)
(('dentist', 'hospital'), 0.02631578947368421)
(('dentist', 'bureau_de_change'), 0.02631578947368421)
(('bar', 'dentist'), 0.02631578947368421)
(('post_box', 'dentist'), 0.02631578947368421)
(('ice_cream', 'dentist'), 0.02631578947368421)
(('dentist', 'marketplace'), 0.02631578947368421)
(('vending_machine', 'car_rental'), 0.02617801047120419)
(('vending_machine', 'clock'), 0.02617801047120419)
(('pub', 'shelter'), 0.02616279069767442)
(('dentist', 'fast_food'), 0.026143790849673203)
(('university', 'fast_food'), 0.026143790849673203)
(('fast_food', 'police'), 0.026143790849673203)
(('fast_food', 'advertising'), 0.026143790849673203)
(('fast_food', 'food_court'), 0.026143790849673203)
(('bank', 'car_wash'), 0.025974025974025976)
(('bank', 'post_box'), 0.025974025974025976)
(('bank', 'hospital'), 0.025974025974025976)
(('social_facility', 'bank'), 0.025974025974025976)
(('post_box', 'parking'), 0.025763831544178366)
(('post_office', 'car_wash'), 0.02564102564102564)
(('toilets', 'car_wash'), 0.02564102564102564)
(('bureau_de_change', 'car_wash'), 0.02564102564102564)
(('post_box', 'car_wash'), 0.02564102564102564)
(('restaurant', 'veterinary'), 0.02535211267605634)
(('restaurant', 'theatre'), 0.02535211267605634)
(('restaurant', 'kindergarten'), 0.02535211267605634)
(('community_centre', 'bicycle_parking'), 0.025280898876404494)
(('bicycle_parking', 'cinema'), 0.025280898876404494)
(('arts_centre', 'bicycle_parking'), 0.025280898876404494)
(('post_box', 'waste_disposal'), 0.02481389578163772)
(('bench', 'pub'), 0.024739583333333332)
(('library', 'shelter'), 0.024709302325581394)
(('fountain', 'shelter'), 0.024709302325581394)
(('public_building', 'parking'), 0.024607762180016514)
(('bank', 'school'), 0.02459016393442623)
(('fast_food', 'school'), 0.02459016393442623)
(('veterinary', 'public_building'), 0.024390243902439025)
(('telephone', 'public_building'), 0.024390243902439025)
(('dentist', 'public_building'), 0.024390243902439025)
(('ice_cream', 'public_building'), 0.024390243902439025)
(('fountain', 'place_of_worship'), 0.024390243902439025)
(('post_office', 'place_of_worship'), 0.024390243902439025)
(('arts_centre', 'public_building'), 0.024390243902439025)
(('public_building', 'language_school'), 0.024390243902439025)
(('bureau_de_change', 'place_of_worship'), 0.024390243902439025)
(('bicycle_repair_station', 'public_building'), 0.024390243902439025)
(('public_building', 'community_centre'), 0.024390243902439025)
(('police', 'place_of_worship'), 0.024390243902439025)
(('police', 'public_building'), 0.024390243902439025)
(('clock', 'public_building'), 0.024390243902439025)
(('library', 'place_of_worship'), 0.024390243902439025)
(('public_building', 'social_facility'), 0.024390243902439025)
(('public_building', 'hospital'), 0.024390243902439025)
(('university', 'public_building'), 0.024390243902439025)
(('public_building', 'marketplace'), 0.024390243902439025)
(('public_building', 'townhall'), 0.024390243902439025)
(('parking_entrance', 'bureau_de_change'), 0.024242424242424242)
(('doctors', 'parking_entrance'), 0.024242424242424242)
(('parking_entrance', 'post_office'), 0.024242424242424242)
(('vehicle_ramp', 'parking_entrance'), 0.024242424242424242)
(('recycling', 'veterinary'), 0.023890784982935155)
(('community_centre', 'recycling'), 0.023890784982935155)
(('recycling', 'car_wash'), 0.023890784982935155)
(('waste_basket', 'place_of_worship'), 0.023622047244094488)
(('waste_basket', 'car_wash'), 0.023622047244094488)
(('waste_basket', 'clock'), 0.023622047244094488)
(('waste_basket', 'parking_space'), 0.023622047244094488)
(('waste_basket', 'bus_station'), 0.023622047244094488)
(('waste_basket', 'telephone'), 0.023622047244094488)
(('community_centre', 'parking'), 0.023451692815854665)
(('dentist', 'kindergarten'), 0.0234375)
(('taxi', 'kindergarten'), 0.0234375)
(('police', 'parking_space'), 0.0234375)
(('marketplace', 'parking_space'), 0.0234375)
(('telephone', 'pharmacy'), 0.022935779816513763)
(('pharmacy', 'pub'), 0.022935779816513763)
(('pharmacy', 'stripclub'), 0.022935779816513763)
(('cafe', 'post_box'), 0.022727272727272728)
(('cafe', 'hospital'), 0.022727272727272728)
(('luggage_locker', 'cafe'), 0.022727272727272728)
(('telephone', 'fuel'), 0.022727272727272728)
(('cafe', 'waste_basket'), 0.022727272727272728)
(('toilets', 'fuel'), 0.022727272727272728)
(('taxi', 'fuel'), 0.022727272727272728)
(('bus_station', 'fuel'), 0.022727272727272728)
(('cafe', 'monastery'), 0.022727272727272728)
(('luggage_locker', 'atm'), 0.022641509433962263)
(('atm', 'theatre'), 0.022641509433962263)
(('atm', 'clinic'), 0.022641509433962263)
(('restaurant', 'university'), 0.022535211267605635)
(('bicycle_parking', 'stripclub'), 0.02247191011235955)
(('waste_disposal', 'car_wash'), 0.022332506203473945)
(('waste_disposal', 'university'), 0.022332506203473945)
(('waste_disposal', 'nightclub'), 0.022332506203473945)
(('police', 'parking'), 0.02213047068538398)
(('parking', 'car_wash'), 0.021635012386457472)
(('embassy', 'parking'), 0.021635012386457472)
(('vending_machine', 'public_building'), 0.020942408376963352)
(('vending_machine', 'hospital'), 0.020942408376963352)
(('police', 'vending_machine'), 0.020942408376963352)
(('vending_machine', 'post_box'), 0.020942408376963352)
(('fountain', 'vending_machine'), 0.020942408376963352)
(('dentist', 'vending_machine'), 0.020942408376963352)
(('vacuum_cleaner', 'vending_machine'), 0.020942408376963352)
(('bench', 'car_wash'), 0.020833333333333332)
(('school', 'parking_entrance'), 0.020491803278688523)
(('police', 'school'), 0.020491803278688523)
(('school', 'public_building'), 0.020491803278688523)
(('recycling', 'taxi'), 0.020477815699658702)
(('recycling', 'marketplace'), 0.020477815699658702)
(('recycling', 'bar'), 0.020477815699658702)
(('kindergarten', 'shelter'), 0.020348837209302327)
(('marketplace', 'shelter'), 0.020348837209302327)
(('bar', 'waste_disposal'), 0.019851116625310174)
(('cafe', 'waste_disposal'), 0.019851116625310174)
(('charging_station', 'restaurant'), 0.01971830985915493)
(('fuel', 'restaurant'), 0.01971830985915493)
(('restaurant', 'arts_centre'), 0.01971830985915493)
(('clinic', 'bicycle_parking'), 0.019662921348314606)
(('telephone', 'fast_food'), 0.0196078431372549)
(('dentist', 'pub'), 0.0196078431372549)
(('cinema', 'pub'), 0.0196078431372549)
(('fast_food', 'arts_centre'), 0.0196078431372549)
(('arts_centre', 'pub'), 0.0196078431372549)
(('ice_cream', 'pub'), 0.0196078431372549)
(('language_school', 'pub'), 0.0196078431372549)
(('clock', 'pub'), 0.0196078431372549)
(('pub', 'language_school;offices'), 0.0196078431372549)
(('pub', 'monastery'), 0.0196078431372549)
(('fast_food', 'monastery'), 0.0196078431372549)
(('pub', 'fire_station'), 0.0196078431372549)
(('pub', 'theatre'), 0.0196078431372549)
(('language_school', 'bench'), 0.01953125)
(('bank', 'veterinary'), 0.01948051948051948)
(('bank', 'studio'), 0.01948051948051948)
(('bank', 'townhall'), 0.01948051948051948)
(('university', 'bank'), 0.01948051948051948)
(('bank', 'fuel'), 0.01948051948051948)
(('bank', 'ice_cream'), 0.01948051948051948)
(('bank', 'arts_centre'), 0.01948051948051948)
(('bus_station', 'shelter'), 0.0188953488372093)
(('public_building', 'shelter'), 0.0188953488372093)
(('food_court', 'atm'), 0.018867924528301886)
(('atm', 'stripclub'), 0.018867924528301886)
(('pharmacy', 'veterinary'), 0.01834862385321101)
(('pharmacy', 'fuel'), 0.01834862385321101)
(('pharmacy', 'public_building'), 0.01834862385321101)
(('pharmacy', 'parking_space'), 0.01834862385321101)
(('bench', 'bar'), 0.018229166666666668)
(('post_office', 'bench'), 0.018229166666666668)
(('kindergarten', 'parking_entrance'), 0.01818181818181818)
(('parking_entrance', 'bicycle_repair_station'), 0.01818181818181818)
(('parking_entrance', 'university'), 0.01818181818181818)
(('parking_entrance', 'cinema'), 0.01818181818181818)
(('nightclub', 'parking_entrance'), 0.01818181818181818)
(('parking_entrance', 'place_of_worship'), 0.01818181818181818)
(('parking_entrance', 'community_centre'), 0.01818181818181818)
(('bar', 'parking_entrance'), 0.01818181818181818)
(('embassy', 'parking_entrance'), 0.01818181818181818)
(('nightclub', 'parking'), 0.018001651527663087)
(('bicycle_rental', 'doctors'), 0.017699115044247787)
(('bicycle_rental', 'charging_station'), 0.017699115044247787)
(('parking_space', 'bicycle_rental'), 0.017699115044247787)
(('bicycle_rental', 'fuel'), 0.017699115044247787)
(('bicycle_rental', 'car_rental'), 0.017699115044247787)
(('dentist', 'bicycle_rental'), 0.017699115044247787)
(('police', 'bicycle_rental'), 0.017699115044247787)
(('embassy', 'university'), 0.017543859649122806)
(('arts_centre', 'university'), 0.017543859649122806)
(('theatre', 'university'), 0.017543859649122806)
(('studio', 'university'), 0.017543859649122806)
(('telephone', 'university'), 0.017543859649122806)
(('clinic', 'university'), 0.017543859649122806)
(('nightclub', 'university'), 0.017543859649122806)
(('vacuum_cleaner', 'shelter'), 0.01744186046511628)
(('fuel', 'waste_disposal'), 0.017369727047146403)
(('waste_disposal', 'nursing_home'), 0.017369727047146403)
(('bar', 'parking'), 0.017341040462427744)
(('parking', 'dentist'), 0.01717588769611891)
(('recycling', 'dentist'), 0.017064846416382253)
(('recycling', 'parking_space'), 0.017064846416382253)
(('hospital', 'parking'), 0.017010734929810076)
(('library', 'social_facility'), 0.01694915254237288)
(('library', 'telephone'), 0.01694915254237288)
(('library', 'stripclub'), 0.01694915254237288)
(('public_building', 'library'), 0.01694915254237288)
(('cinema', 'library'), 0.01694915254237288)
(('library', 'clinic'), 0.01694915254237288)
(('arts_centre', 'library'), 0.01694915254237288)
(('library', 'hospital'), 0.01694915254237288)
(('library', 'dentist'), 0.01694915254237288)
(('bbq', 'library'), 0.01694915254237288)
(('college', 'library'), 0.01694915254237288)
(('embassy', 'bench'), 0.016927083333333332)
(('bench', 'nightclub'), 0.016927083333333332)
(('restaurant', 'hospital'), 0.016901408450704224)
(('restaurant', 'waste_basket'), 0.016901408450704224)
(('restaurant', 'marketplace'), 0.016901408450704224)
(('bicycle_parking', 'hospital'), 0.016853932584269662)
(('bicycle_parking', 'townhall'), 0.016853932584269662)
(('bicycle_parking', 'fuel'), 0.016853932584269662)
(('bicycle_parking', 'bus_station'), 0.016853932584269662)
(('bicycle_parking', 'car_wash'), 0.016853932584269662)
(('grave_yard', 'place_of_worship'), 0.016260162601626018)
(('dentist', 'place_of_worship'), 0.016260162601626018)
(('arts_centre', 'place_of_worship'), 0.016260162601626018)
(('public_building', 'place_of_worship'), 0.016260162601626018)
(('doctors', 'place_of_worship'), 0.016260162601626018)
(('place_of_worship', 'fire_station'), 0.016260162601626018)
(('taxi', 'place_of_worship'), 0.016260162601626018)
(('university', 'shelter'), 0.015988372093023256)
(('marketplace', 'parking'), 0.015854665565648223)
(('parking_space', 'parking'), 0.015854665565648223)
(('waste_basket', 'charging_station'), 0.015748031496062992)
(('waste_basket', 'hospital'), 0.015748031496062992)
(('waste_basket', 'fast_food'), 0.015748031496062992)
(('waste_basket', 'theatre'), 0.015748031496062992)
(('waste_basket', 'drinking_water'), 0.015748031496062992)
(('waste_basket', 'dentist'), 0.015748031496062992)
(('vending_machine', 'doctors'), 0.015706806282722512)
(('vending_machine', 'nightclub'), 0.015706806282722512)
(('vending_machine', 'bar'), 0.015706806282722512)
(('compressed_air', 'vending_machine'), 0.015706806282722512)
(('cafe', 'kindergarten'), 0.015625)
(('post_office', 'parking_space'), 0.015625)
(('bench', 'public_building'), 0.015625)
(('kindergarten', 'hospital'), 0.015625)
(('community_centre', 'bench'), 0.015625)
(('post_box', 'kindergarten'), 0.015625)
(('parking_entrance', 'parking_space'), 0.015625)
(('social_facility', 'kindergarten'), 0.015625)
(('dentist', 'cafe'), 0.015151515151515152)
(('cafe', 'charging_station'), 0.015151515151515152)
(('cafe', 'marketplace'), 0.015151515151515152)
(('telephone', 'cafe'), 0.015151515151515152)
(('clock', 'cafe'), 0.015151515151515152)
(('cafe', 'fire_station'), 0.015151515151515152)
(('atm', 'cinema'), 0.01509433962264151)
(('clock', 'parking'), 0.015028901734104046)
(('veterinary', 'waste_disposal'), 0.01488833746898263)
(('bureau_de_change', 'waste_disposal'), 0.01488833746898263)
(('pub', 'waste_disposal'), 0.01488833746898263)
(('waste_disposal', 'fountain'), 0.01488833746898263)
(('clock', 'waste_disposal'), 0.01488833746898263)
(('waste_disposal', 'parking_space'), 0.01488833746898263)
(('dentist', 'shelter'), 0.014534883720930232)
(('embassy', 'shelter'), 0.014534883720930232)
(('theatre', 'shelter'), 0.014534883720930232)
(('doctors', 'fire_station'), 0.014492753623188406)
(('doctors', 'fountain'), 0.014492753623188406)
(('vehicle_inspection', 'doctors'), 0.014492753623188406)
(('doctors', 'townhall'), 0.014492753623188406)
(('doctors', 'parking_space'), 0.014492753623188406)
(('doctors', 'bureau_de_change'), 0.014492753623188406)
(('parking', 'veterinary'), 0.014368290668868704)
(('post_box', 'restaurant'), 0.014084507042253521)
(('restaurant', 'car_wash'), 0.014084507042253521)
(('dentist', 'taxi'), 0.014084507042253521)
(('taxi', 'studio'), 0.014084507042253521)
(('taxi', 'townhall'), 0.014084507042253521)
(('luggage_locker', 'taxi'), 0.014084507042253521)
(('clinic', 'taxi'), 0.014084507042253521)
(('arts_centre', 'taxi'), 0.014084507042253521)
(('language_school', 'taxi'), 0.014084507042253521)
(('advertising', 'taxi'), 0.014084507042253521)
(('taxi', 'vacuum_cleaner'), 0.014084507042253521)
(('ice_cream', 'taxi'), 0.014084507042253521)
(('taxi', 'veterinary'), 0.014084507042253521)
(('hospital', 'taxi'), 0.014084507042253521)
(('taxi', 'community_centre'), 0.014084507042253521)
(('parking_space', 'taxi'), 0.014084507042253521)
(('studio', 'bicycle_parking'), 0.014044943820224719)
(('charging_station', 'bicycle_parking'), 0.014044943820224719)
(('pharmacy', 'bicycle_repair_station'), 0.013761467889908258)
(('food_court', 'pharmacy'), 0.013761467889908258)
(('cinema', 'pharmacy'), 0.013761467889908258)
(('pharmacy', 'theatre'), 0.013761467889908258)
(('pharmacy', 'clock'), 0.013761467889908258)
(('pharmacy', 'language_school'), 0.013761467889908258)
(('pharmacy', 'fountain'), 0.013761467889908258)
(('recycling', 'nightclub'), 0.013651877133105802)
(('recycling', 'place_of_worship'), 0.013651877133105802)
(('toilets', 'post_box'), 0.013333333333333334)
(('payment_terminal', 'toilets'), 0.013333333333333334)
(('toilets', 'veterinary'), 0.013333333333333334)
(('post_office', 'events_venue'), 0.013333333333333334)
(('toilets', 'police'), 0.013333333333333334)
(('post_office', 'charging_station'), 0.013333333333333334)
(('toilets', 'grave_yard'), 0.013333333333333334)
(('bicycle_repair_station', 'post_office'), 0.013333333333333334)
(('music_school', 'post_office'), 0.013333333333333334)
(('bbq]', 'toilets'), 0.013333333333333334)
(('ferry_terminal', 'toilets'), 0.013333333333333334)
(('bbq', 'post_office'), 0.013333333333333334)
(('embassy', 'post_office'), 0.013333333333333334)
(('nightclub', 'post_office'), 0.013333333333333334)
(('post_office', 'language_school;offices'), 0.013333333333333334)
(('post_office', 'stripclub'), 0.013333333333333334)
(('toilets', 'stripclub'), 0.013333333333333334)
(('toilets', 'public_building'), 0.013333333333333334)
(('college', 'toilets'), 0.013333333333333334)
(('waste_basket', 'toilets'), 0.013333333333333334)
(('post_office', 'driving_school'), 0.013333333333333334)
(('post_office', 'police'), 0.013333333333333334)
(('clock', 'toilets'), 0.013333333333333334)
(('post_office', 'nursing_home'), 0.013333333333333334)
(('outdoor_seating', 'toilets'), 0.013333333333333334)
(('bbq', 'toilets'), 0.013333333333333334)
(('toilets', 'dentist'), 0.013333333333333334)
(('toilets', 'community_centre'), 0.013333333333333334)
(('toilets', 'solarium'), 0.013333333333333334)
(('toilets', 'fire_station'), 0.013333333333333334)
(('shelter', 'hospital'), 0.01308139534883721)
(('clock', 'shelter'), 0.01308139534883721)
(('veterinary', 'fast_food'), 0.013071895424836602)
(('fast_food', 'bus_station'), 0.013071895424836602)
(('fast_food', 'kindergarten'), 0.013071895424836602)
(('fast_food', 'bbq'), 0.013071895424836602)
(('fast_food', 'clinic'), 0.013071895424836602)
(('social_facility', 'fast_food'), 0.013071895424836602)
(('police', 'bench'), 0.013020833333333334)
(('bicycle_repair_station', 'bank'), 0.012987012987012988)
(('bank', 'music_school'), 0.012987012987012988)
(('bank', 'language_school;offices'), 0.012987012987012988)
(('bank', 'monastery'), 0.012987012987012988)
(('drinking_water', 'bank'), 0.012987012987012988)
(('payment_terminal', 'car_wash'), 0.01282051282051282)
(('public_building', 'car_wash'), 0.01282051282051282)
(('dentist', 'car_wash'), 0.01282051282051282)
(('bicycle_repair_station', 'car_wash'), 0.01282051282051282)
(('bus_station', 'car_wash'), 0.01282051282051282)
(('telephone', 'car_wash'), 0.01282051282051282)
(('driving_school', 'car_wash'), 0.01282051282051282)
(('library', 'car_wash'), 0.01282051282051282)
(('studio', 'car_wash'), 0.01282051282051282)
(('waste_disposal', 'college'), 0.01240694789081886)
(('waste_disposal', 'social_facility'), 0.01240694789081886)
(('police', 'waste_disposal'), 0.01240694789081886)
(('clinic', 'waste_disposal'), 0.01240694789081886)
(('school', 'college'), 0.012295081967213115)
(('school', 'hospital'), 0.012295081967213115)
(('post_office', 'school'), 0.012295081967213115)
(('nightclub', 'school'), 0.012295081967213115)
