Duration: 216 s 

Number of collocations: 1488

(('payment_terminal', 'payment_terminal'), 1)
(('cafe', 'public_building'), 0.16666666666666666)
(('bbq]', 'ferry_terminal'), 0.16666666666666666)
(('clinic', 'clinic'), 0.16666666666666666)
(('food_court', 'bbq'), 0.16666666666666666)
(('embassy', 'fountain'), 0.16666666666666666)
(('cinema', 'cinema'), 0.16666666666666666)
(('drinking_water', 'townhall'), 0.16666666666666666)
(('stripclub', 'townhall'), 0.16666666666666666)
(('studio', 'townhall'), 0.16666666666666666)
(('bicycle_parking', 'cafe'), 0.16573033707865167)
(('drinking_water', 'nightclub'), 0.16)
(('nightclub', 'bureau_de_change'), 0.16)
(('nightclub', 'language_school;offices'), 0.16)
(('bicycle_parking', 'pharmacy'), 0.15730337078651685)
(('taxi', 'fast_food'), 0.1568627450980392)
(('drinking_water', 'pub'), 0.1568627450980392)
(('fountain', 'community_centre'), 0.15625)
(('bar', 'stripclub'), 0.15625)
(('bank', 'library'), 0.15584415584415584)
(('ice_cream', 'ice_cream'), 0.15384615384615385)
(('shelter', 'restaurant'), 0.15261627906976744)
(('toilets', 'cafe'), 0.15151515151515152)
(('atm', 'bureau_de_change'), 0.1509433962264151)
(('cafe', 'bicycle_rental'), 0.1504424778761062)
(('bar', 'fast_food'), 0.1503267973856209)
(('bench', 'parking'), 0.14731626754748142)
(('atm', 'post_office'), 0.1471698113207547)
(('bench', 'restaurant'), 0.14583333333333334)
(('waste_disposal', 'shelter'), 0.1438953488372093)
(('bank', 'pub'), 0.14285714285714285)
(('bus_station', 'telephone'), 0.14285714285714285)
(('telephone', 'stripclub'), 0.14285714285714285)
(('ferry_terminal', 'bbq'), 0.14285714285714285)
(('pharmacy', 'doctors'), 0.14220183486238533)
(('atm', 'parking'), 0.14203137902559868)
(('pharmacy', 'waste_disposal'), 0.141439205955335)
(('compressed_air', 'car_wash'), 0.14102564102564102)
(('post_office', 'restaurant'), 0.14084507042253522)
(('restaurant', 'taxi'), 0.14084507042253522)
(('restaurant', 'parking'), 0.13988439306358383)
(('parking', 'pharmacy'), 0.1388934764657308)
(('bar', 'fountain'), 0.1388888888888889)
(('stripclub', 'fountain'), 0.1388888888888889)
(('drinking_water', 'fountain'), 0.1388888888888889)
(('restaurant', 'place_of_worship'), 0.13821138211382114)
(('bank', 'shelter'), 0.1380813953488372)
(('cinema', 'bureau_de_change'), 0.13793103448275862)
(('bureau_de_change', 'bureau_de_change'), 0.13793103448275862)
(('bank', 'nightclub'), 0.13636363636363635)
(('community_centre', 'library'), 0.13559322033898305)
(('toilets', 'bureau_de_change'), 0.13333333333333333)
(('charging_station', 'charging_station'), 0.13333333333333333)
(('language_school', 'theatre'), 0.13333333333333333)
(('theatre', 'clock'), 0.13333333333333333)
(('arts_centre', 'theatre'), 0.13333333333333333)
(('vending_machine', 'toilets'), 0.13089005235602094)
(('doctors', 'doctors'), 0.13043478260869565)
(('embassy', 'bank'), 0.12987012987012986)
(('taxi', 'shelter'), 0.12936046511627908)
(('bicycle_parking', 'vending_machine'), 0.12921348314606743)
(('hospital', 'hospital'), 0.12903225806451613)
(('atm', 'taxi'), 0.12830188679245283)
(('car_wash', 'vacuum_cleaner'), 0.1282051282051282)
(('taxi', 'toilets'), 0.1267605633802817)
(('restaurant', 'public_building'), 0.1267605633802817)
(('recycling', 'bicycle_parking'), 0.12640449438202248)
(('bar', 'drinking_water'), 0.125)
(('bench', 'waste_disposal'), 0.12406947890818859)
(('restaurant', 'stripclub'), 0.12394366197183099)
(('pharmacy', 'shelter'), 0.12354651162790697)
(('pub', 'public_building'), 0.12195121951219512)
(('library', 'cafe'), 0.12121212121212122)
(('stripclub', 'cafe'), 0.12121212121212122)
(('bench', 'atm'), 0.11979166666666667)
(('pharmacy', 'vending_machine'), 0.11926605504587157)
(('fast_food', 'shelter'), 0.11773255813953488)
(('fuel', 'fast_food'), 0.11764705882352941)
(('toilets', 'atm'), 0.1169811320754717)
(('bank', 'vending_machine'), 0.11518324607329843)
(('toilets', 'restaurant'), 0.11267605633802817)
(('post_office', 'fast_food'), 0.1111111111111111)
(('fast_food', 'car_wash'), 0.1111111111111111)
(('embassy', 'language_school'), 0.1111111111111111)
(('public_building', 'fast_food'), 0.1111111111111111)
(('embassy', 'stripclub'), 0.1111111111111111)
(('fountain', 'townhall'), 0.1111111111111111)
(('cafe', 'pharmacy'), 0.11009174311926606)
(('recycling', 'pharmacy'), 0.11009174311926606)
(('bicycle_parking', 'toilets'), 0.10955056179775281)
(('bench', 'recycling'), 0.109375)
(('doctors', 'kindergarten'), 0.109375)
(('cafe', 'post_office'), 0.10666666666666667)
(('veterinary', 'clinic'), 0.10526315789473684)
(('bicycle_repair_station', 'bus_station'), 0.10526315789473684)
(('toilets', 'fast_food'), 0.10457516339869281)
(('fast_food', 'fountain'), 0.10457516339869281)
(('parking_entrance', 'bicycle_parking'), 0.10393258426966293)
(('bicycle_parking', 'school'), 0.10393258426966293)
(('bank', 'taxi'), 0.1038961038961039)
(('bureau_de_change', 'ice_cream'), 0.10344827586206896)
(('bureau_de_change', 'social_facility'), 0.10344827586206896)
(('bureau_de_change', 'theatre'), 0.10344827586206896)
(('bureau_de_change', 'embassy'), 0.10344827586206896)
(('vacuum_cleaner', 'fuel'), 0.10227272727272728)
(('fuel', 'compressed_air'), 0.10227272727272728)
(('parking_entrance', 'bench'), 0.1015625)
(('parking', 'bank'), 0.1014037985136251)
(('bus_station', 'vacuum_cleaner'), 0.1)
(('taxi', 'taxi'), 0.09859154929577464)
(('pub', 'taxi'), 0.09859154929577464)
(('bicycle_parking', 'bureau_de_change'), 0.09831460674157304)
(('pub', 'townhall'), 0.09803921568627451)
(('bar', 'public_building'), 0.0975609756097561)
(('embassy', 'public_building'), 0.0975609756097561)
(('bank', 'language_school'), 0.09740259740259741)
(('marketplace', 'hospital'), 0.0967741935483871)
(('waste_disposal', 'parking_entrance'), 0.0967741935483871)
(('pharmacy', 'bureau_de_change'), 0.0963302752293578)
(('nightclub', 'community_centre'), 0.09375)
(('pub', 'community_centre'), 0.09375)
(('post_office', 'doctors'), 0.09333333333333334)
(('post_office', 'post_box'), 0.09333333333333334)
(('toilets', 'fountain'), 0.09333333333333334)
(('restaurant', 'community_centre'), 0.09295774647887324)
(('bicycle_parking', 'taxi'), 0.09269662921348315)
(('ice_cream', 'cafe'), 0.09090909090909091)
(('fire_station', 'college'), 0.09090909090909091)
(('bank', 'theatre'), 0.09090909090909091)
(('fountain', 'bank'), 0.09090909090909091)
(('cafe', 'place_of_worship'), 0.08943089430894309)
(('vending_machine', 'bureau_de_change'), 0.08900523560209424)
(('bicycle_rental', 'toilets'), 0.08849557522123894)
(('bicycle_rental', 'post_office'), 0.08849557522123894)
(('parking_entrance', 'parking'), 0.08819157720891825)
(('parking', 'vending_machine'), 0.0875309661436829)
(('bench', 'bicycle_rental'), 0.08723958333333333)
(('bench', 'bank'), 0.08723958333333333)
(('shelter', 'bench'), 0.0872093023255814)
(('bicycle_parking', 'embassy'), 0.08707865168539326)
(('bicycle_parking', 'pub'), 0.08707865168539326)
(('waste_disposal', 'restaurant'), 0.08684863523573201)
(('recycling', 'atm'), 0.08679245283018867)
