Duration: 9156 s 
Number of collocations: 1179
(('scrapyard', 'payment_terminal'), 1)
(('charging_station', 'public_building'), 0.024390243902439025)
(('metal_scrap', 'public_building'), 0.024390243902439025)
(('bar', 'place_of_worship'), 0.024390243902439025)
(('dentist', 'public_building'), 0.024390243902439025)
(('place_of_worship', 'monastery'), 0.024390243902439025)
(('arts_centre', 'public_building'), 0.024390243902439025)
(('ice_cream', 'public_building'), 0.024390243902439025)
(('language_school', 'public_building'), 0.024390243902439025)
(('bureau_de_change', 'public_building'), 0.024390243902439025)
(('advertising', 'public_building'), 0.024390243902439025)
(('public_building', 'telephone'), 0.024390243902439025)
(('nightclub', 'public_building'), 0.024390243902439025)
(('place_of_worship', 'nightclub'), 0.024390243902439025)
(('parking_entrance', 'toilets'), 0.024242424242424242)
(('fountain', 'parking_entrance'), 0.024242424242424242)
(('public_building', 'parking_entrance'), 0.024242424242424242)
(('school', 'recycling'), 0.023890784982935155)
(('waste_basket', 'post_box'), 0.023622047244094488)
(('parking_entrance', 'waste_basket'), 0.023622047244094488)
(('kindergarten', 'post_box'), 0.0234375)
(('bench', 'car_wash'), 0.0234375)
(('shelter', 'university'), 0.023255813953488372)
(('parking', 'doctors'), 0.02295623451692816)
(('parking', 'parking_entrance'), 0.02295623451692816)
(('pharmacy', 'fountain'), 0.022935779816513763)
(('pharmacy', 'cinema'), 0.022935779816513763)
(('pharmacy', 'lombard_banking'), 0.022935779816513763)
(('pharmacy', 'waste_basket'), 0.022935779816513763)
(('pharmacy', 'theatre'), 0.022935779816513763)
(('waste_basket', 'fuel'), 0.022727272727272728)
(('cafe', 'hospital'), 0.022727272727272728)
(('parking_space', 'fuel'), 0.022727272727272728)
(('social_facility', 'cafe'), 0.022727272727272728)
(('cafe', 'clinic'), 0.022727272727272728)
(('compressed_air', 'fuel'), 0.022727272727272728)
(('car_wash', 'atm'), 0.022641509433962263)
(('atm', 'bar'), 0.022641509433962263)
(('atm', 'language_school'), 0.022641509433962263)
(('waste_basket', 'restaurant'), 0.022535211267605635)
(('community_centre', 'restaurant'), 0.022535211267605635)
(('social_facility', 'restaurant'), 0.022535211267605635)
(('vending_machine', 'waste_disposal'), 0.022332506203473945)
(('waste_disposal', 'school'), 0.022332506203473945)
(('shelter', 'parking_space'), 0.02180232558139535)
(('shelter', 'doctors'), 0.02180232558139535)
(('shelter', 'fountain'), 0.02180232558139535)
(('parking', 'fountain'), 0.0213047068538398)
(('vending_machine', 'theatre'), 0.020942408376963352)
(('fountain', 'vending_machine'), 0.020942408376963352)
(('bench', 'post_office'), 0.020833333333333332)
(('school', 'doctors'), 0.020491803278688523)
(('taxi', 'school'), 0.020491803278688523)
(('recycling', 'post_office'), 0.020477815699658702)
(('shelter', 'fuel'), 0.020348837209302327)
(('library', 'shelter'), 0.020348837209302327)
(('doctors', 'restaurant'), 0.01971830985915493)
(('restaurant', 'recycling'), 0.01971830985915493)
(('restaurant', 'kindergarten'), 0.01971830985915493)
(('dentist', 'bicycle_parking'), 0.019662921348314606)
(('bicycle_parking', 'studio'), 0.019662921348314606)
(('bicycle_parking', 'college'), 0.019662921348314606)
(('fast_food', 'dentist'), 0.0196078431372549)
(('fast_food', 'lombard_banking'), 0.0196078431372549)
(('pub', 'hospital'), 0.0196078431372549)
(('doctors', 'pub'), 0.0196078431372549)
(('food_court', 'pub'), 0.0196078431372549)
(('bbq', 'pub'), 0.0196078431372549)
(('pub', 'ice_cream'), 0.0196078431372549)
(('fast_food', 'advertising'), 0.0196078431372549)
(('fast_food', 'telephone'), 0.0196078431372549)
(('pub', 'public_building'), 0.0196078431372549)
(('fire_station', 'bench'), 0.01953125)
(('bank', 'veterinary'), 0.01948051948051948)
(('bank', 'marketplace'), 0.01948051948051948)
(('police', 'bank'), 0.01948051948051948)
(('bank', 'parking_space'), 0.01948051948051948)
(('hospital', 'bank'), 0.01948051948051948)
(('bank', 'telephone'), 0.01948051948051948)
(('shelter', 'clock'), 0.0188953488372093)
(('dentist', 'shelter'), 0.0188953488372093)
(('police', 'atm'), 0.018867924528301886)
(('pharmacy', 'veterinary'), 0.01834862385321101)
(('pharmacy', 'library'), 0.01834862385321101)
(('pharmacy', 'marketplace'), 0.01834862385321101)
(('pub', 'pharmacy'), 0.01834862385321101)
(('police', 'pharmacy'), 0.01834862385321101)
(('food_court', 'parking_entrance'), 0.01818181818181818)
(('hospital', 'bicycle_rental'), 0.017699115044247787)
(('bicycle_rental', 'marketplace'), 0.017699115044247787)
(('bicycle_rental', 'cinema'), 0.017699115044247787)
(('bicycle_rental', 'arts_centre'), 0.017699115044247787)
(('telephone', 'bicycle_rental'), 0.017699115044247787)
(('public_building', 'bicycle_rental'), 0.017699115044247787)
(('bicycle_rental', 'veterinary'), 0.017699115044247787)
(('bicycle_rental', 'police'), 0.017699115044247787)
(('bicycle_rental', 'courthouse'), 0.017699115044247787)
(('bicycle_rental', 'bar'), 0.017699115044247787)
(('bus_station', 'bicycle_rental'), 0.017699115044247787)
(('university', 'hospital'), 0.017543859649122806)
(('university', 'embassy'), 0.017543859649122806)
(('university', 'post_box'), 0.017543859649122806)
(('university', 'pub'), 0.017543859649122806)
(('university', 'arts_centre'), 0.017543859649122806)
(('public_building', 'university'), 0.017543859649122806)
(('university', 'parking_space'), 0.017543859649122806)
(('university', 'bar'), 0.017543859649122806)
(('university', 'ferry_terminal'), 0.017543859649122806)
(('fountain', 'university'), 0.017543859649122806)
(('university', 'clock'), 0.017543859649122806)
(('university', 'courthouse'), 0.017543859649122806)
(('university', 'college'), 0.017543859649122806)
(('university', 'nightclub'), 0.017543859649122806)
(('shelter', 'embassy'), 0.01744186046511628)
(('shelter', 'public_building'), 0.01744186046511628)
(('recycling', 'post_box'), 0.017064846416382253)
(('fuel', 'recycling'), 0.017064846416382253)
(('dentist', 'library'), 0.01694915254237288)
(('library', 'community_centre'), 0.01694915254237288)
(('theatre', 'library'), 0.01694915254237288)
(('pub', 'library'), 0.01694915254237288)
(('nightclub', 'library'), 0.01694915254237288)
(('veterinary', 'library'), 0.01694915254237288)
(('pub', 'bench'), 0.016927083333333332)
(('bench', 'clock'), 0.016927083333333332)
(('restaurant', 'arts_centre'), 0.016901408450704224)
(('restaurant', 'monastery'), 0.016901408450704224)
(('restaurant', 'biergarten'), 0.016901408450704224)
(('veterinary', 'bicycle_parking'), 0.016853932584269662)
(('bicycle_parking', 'townhall'), 0.016853932584269662)
(('cinema', 'bicycle_parking'), 0.016853932584269662)
(('bicycle_parking', 'clinic'), 0.016853932584269662)
(('dentist', 'school'), 0.01639344262295082)
(('school', 'kindergarten'), 0.01639344262295082)
(('school', 'toilets'), 0.01639344262295082)
(('fast_food', 'school'), 0.01639344262295082)
(('waste_basket', 'place_of_worship'), 0.016260162601626018)
(('post_office', 'place_of_worship'), 0.016260162601626018)
(('university', 'place_of_worship'), 0.016260162601626018)
(('fountain', 'place_of_worship'), 0.016260162601626018)
(('place_of_worship', 'police'), 0.016260162601626018)
(('embassy', 'place_of_worship'), 0.016260162601626018)
(('place_of_worship', 'ice_cream'), 0.016260162601626018)
(('social_facility', 'place_of_worship'), 0.016260162601626018)
(('library', 'place_of_worship'), 0.016260162601626018)
(('fuel', 'parking'), 0.016184971098265895)
(('waste_basket', 'library'), 0.015748031496062992)
(('waste_basket', 'parking_space'), 0.015748031496062992)
(('cinema', 'waste_basket'), 0.015748031496062992)
(('waste_basket', 'bureau_de_change'), 0.015748031496062992)
(('waste_basket', 'bus_station'), 0.015748031496062992)
(('waste_basket', 'telephone'), 0.015748031496062992)
(('waste_basket', 'outdoor_seating'), 0.015748031496062992)
(('vending_machine', 'clock'), 0.015706806282722512)
(('library', 'vending_machine'), 0.015706806282722512)
(('vending_machine', 'bicycle_repair_station'), 0.015706806282722512)
(('bus_station', 'vending_machine'), 0.015706806282722512)
(('vacuum_cleaner', 'vending_machine'), 0.015706806282722512)
(('parking', 'library'), 0.01568951279933939)
(('post_office', 'kindergarten'), 0.015625)
(('bar', 'kindergarten'), 0.015625)
(('kindergarten', 'cafe'), 0.015625)
(('public_building', 'kindergarten'), 0.015625)
(('waste_basket', 'kindergarten'), 0.015625)
(('bank', 'kindergarten'), 0.015625)
(('charging_station', 'cafe'), 0.015151515151515152)
(('cafe', 'bicycle_repair_station'), 0.015151515151515152)
(('arts_centre', 'cafe'), 0.015151515151515152)
(('cafe', 'clock'), 0.015151515151515152)
(('charging_station', 'atm'), 0.01509433962264151)
(('doctors', 'atm'), 0.01509433962264151)
(('atm', 'university'), 0.01509433962264151)
(('atm', 'kindergarten'), 0.01509433962264151)
(('hospital', 'atm'), 0.01509433962264151)
(('food_court', 'atm'), 0.01509433962264151)
(('bar', 'waste_disposal'), 0.01488833746898263)
(('post_box', 'waste_disposal'), 0.01488833746898263)
(('fast_food', 'waste_disposal'), 0.01488833746898263)
(('fuel', 'waste_disposal'), 0.01488833746898263)
(('parking', 'hospital'), 0.01486374896779521)
(('parking', 'post_box'), 0.014698596201486376)
(('shelter', 'parking_entrance'), 0.014534883720930232)
(('shelter', 'kindergarten'), 0.014534883720930232)
(('fire_station', 'doctors'), 0.014492753623188406)
(('doctors', 'fountain'), 0.014492753623188406)
(('doctors', 'community_centre'), 0.014492753623188406)
(('doctors', 'car_wash'), 0.014492753623188406)
(('doctors', 'veterinary'), 0.014492753623188406)
(('doctors', 'library'), 0.014492753623188406)
(('doctors', 'dentist'), 0.014492753623188406)
(('solarium', 'doctors'), 0.014492753623188406)
(('bicycle_repair_station', 'doctors'), 0.014492753623188406)
(('taxi', 'doctors'), 0.014492753623188406)
(('waste_basket', 'doctors'), 0.014492753623188406)
(('post_box', 'doctors'), 0.014492753623188406)
(('doctors', 'bbq'), 0.014492753623188406)
(('beater', 'doctors'), 0.014492753623188406)
(('bench', 'bicycle_repair_station'), 0.014322916666666666)
(('bench', 'clinic'), 0.014322916666666666)
(('restaurant', 'scrapyard'), 0.014084507042253521)
(('car_wash', 'restaurant'), 0.014084507042253521)
(('studio', 'taxi'), 0.014084507042253521)
(('townhall', 'taxi'), 0.014084507042253521)
(('taxi', 'clock'), 0.014084507042253521)
(('university', 'taxi'), 0.014084507042253521)
(('restaurant', 'bicycle_repair_station'), 0.014084507042253521)
(('restaurant', 'telephone'), 0.014084507042253521)
(('restaurant', 'college'), 0.014084507042253521)
(('theatre', 'taxi'), 0.014084507042253521)
(('taxi', 'post_box'), 0.014084507042253521)
(('restaurant', 'language_school'), 0.014084507042253521)
(('taxi', 'language_school'), 0.014084507042253521)
(('taxi', 'library'), 0.014084507042253521)
(('taxi', 'clinic'), 0.014084507042253521)
(('fire_station', 'taxi'), 0.014084507042253521)
(('bicycle_parking', 'bicycle_repair_station'), 0.014044943820224719)
(('bicycle_parking', 'advertising'), 0.014044943820224719)
(('pharmacy', 'car_wash'), 0.013761467889908258)
(('pharmacy', 'kindergarten'), 0.013761467889908258)
(('pharmacy', 'embassy'), 0.013761467889908258)
(('dentist', 'parking'), 0.01370767960363336)
(('bar', 'parking'), 0.01370767960363336)
(('recycling', 'community_centre'), 0.013651877133105802)
(('university', 'recycling'), 0.013651877133105802)
(('recycling', 'dentist'), 0.013651877133105802)
(('toilets', 'post_box'), 0.013333333333333334)
(('scrapyard', 'toilets'), 0.013333333333333334)
(('post_office', 'charging_station'), 0.013333333333333334)
(('post_office', 'post_box'), 0.013333333333333334)
(('marketplace', 'toilets'), 0.013333333333333334)
(('toilets', 'post_office'), 0.013333333333333334)
(('post_office', 'parking_space'), 0.013333333333333334)
(('toilets', 'cinema'), 0.013333333333333334)
(('toilets', 'lombard_banking'), 0.013333333333333334)
(('fountain', 'toilets'), 0.013333333333333334)
(('music_school', 'post_office'), 0.013333333333333334)
(('lombard_banking', 'post_office'), 0.013333333333333334)
(('community_centre', 'post_office'), 0.013333333333333334)
(('toilets', 'library'), 0.013333333333333334)
(('post_office', 'college'), 0.013333333333333334)
(('toilets', 'nightclub'), 0.013333333333333334)
(('food_court', 'post_office'), 0.013333333333333334)
(('monastery', 'post_office'), 0.013333333333333334)
(('post_office', 'biergarten'), 0.013333333333333334)
(('beater', 'post_office'), 0.013333333333333334)
(('bar', 'post_office'), 0.013333333333333334)
(('toilets', 'ice_cream'), 0.013333333333333334)
(('parking', 'public_building'), 0.013212221304706853)
(('shelter', 'bus_station'), 0.01308139534883721)
(('shelter', 'vacuum_cleaner'), 0.01308139534883721)
(('doctors', 'fast_food'), 0.013071895424836602)
(('fast_food', 'solarium'), 0.013071895424836602)
(('community_centre', 'fast_food'), 0.013071895424836602)
(('post_box', 'fast_food'), 0.013071895424836602)
(('fast_food', 'ice_cream'), 0.013071895424836602)
(('fast_food', 'beater'), 0.013071895424836602)
(('university', 'bench'), 0.013020833333333334)
(('bank', 'car_wash'), 0.012987012987012988)
(('bank', 'studio'), 0.012987012987012988)
(('bank', 'townhall'), 0.012987012987012988)
(('drinking_water', 'bank'), 0.012987012987012988)
(('social_facility', 'bank'), 0.012987012987012988)
(('car_wash', 'payment_terminal'), 0.01282051282051282)
(('parking_space', 'car_wash'), 0.01282051282051282)
(('taxi', 'car_wash'), 0.01282051282051282)
(('car_wash', 'post_office'), 0.01282051282051282)
(('car_wash', 'driving_school'), 0.01282051282051282)
(('waste_disposal', 'library'), 0.01240694789081886)
(('waste_disposal', 'place_of_worship'), 0.01240694789081886)
(('post_office', 'waste_disposal'), 0.01240694789081886)
(('pub', 'waste_disposal'), 0.01240694789081886)
(('university', 'waste_disposal'), 0.01240694789081886)
(('university', 'school'), 0.012295081967213115)
(('school', 'embassy'), 0.012295081967213115)
(('waste_basket', 'school'), 0.012295081967213115)
(('community_centre', 'parking'), 0.01222130470685384)
(('parking_entrance', 'post_box'), 0.012121212121212121)
(('school', 'parking_entrance'), 0.012121212121212121)
(('parking_entrance', 'luggage_locker'), 0.012121212121212121)
(('university', 'parking_entrance'), 0.012121212121212121)
(('parking_entrance', 'kindergarten'), 0.012121212121212121)
(('parking_entrance', 'vacuum_cleaner'), 0.012121212121212121)
(('parking_entrance', 'compressed_air'), 0.012121212121212121)
(('bench', 'community_centre'), 0.01171875)
(('police', 'bench'), 0.01171875)
(('bench', 'post_box'), 0.01171875)
(('public_building', 'bench'), 0.01171875)
(('hospital', 'shelter'), 0.011627906976744186)
(('shelter', 'bicycle_repair_station'), 0.011627906976744186)
(('shelter', 'post_box'), 0.011627906976744186)
(('shelter', 'telephone'), 0.011627906976744186)
(('fire_station', 'fuel'), 0.011363636363636364)
(('doctors', 'fuel'), 0.011363636363636364)
(('community_centre', 'fuel'), 0.011363636363636364)
(('public_building', 'fuel'), 0.011363636363636364)
(('university', 'fuel'), 0.011363636363636364)
(('college', 'fuel'), 0.011363636363636364)
(('toilets', 'fuel'), 0.011363636363636364)
(('food_court', 'fuel'), 0.011363636363636364)
(('parking_entrance', 'fuel'), 0.011363636363636364)
(('fuel', 'driving_school'), 0.011363636363636364)
(('fuel', 'post_office'), 0.011363636363636364)
(('taxi', 'fuel'), 0.011363636363636364)
(('vacuum_cleaner', 'fuel'), 0.011363636363636364)
(('atm', 'marketplace'), 0.011320754716981131)
(('atm', 'arts_centre'), 0.011320754716981131)
(('atm', 'beater'), 0.011320754716981131)
(('restaurant', 'music_school'), 0.011267605633802818)
(('veterinary', 'restaurant'), 0.011267605633802818)
(('restaurant', 'clock'), 0.011267605633802818)
(('bicycle_parking', 'hospital'), 0.011235955056179775)
(('bicycle_parking', 'food_court'), 0.011235955056179775)
(('parking', 'nightclub'), 0.011230388109000827)
(('vending_machine', 'recycling'), 0.010471204188481676)
(('community_centre', 'vending_machine'), 0.010471204188481676)
(('vending_machine', 'cinema'), 0.010471204188481676)
(('vending_machine', 'drinking_water'), 0.010471204188481676)
(('vending_machine', 'nightclub'), 0.010471204188481676)
(('telephone', 'vending_machine'), 0.010471204188481676)
(('bbq', 'bench'), 0.010416666666666666)
(('embassy', 'parking'), 0.010404624277456647)
(('recycling', 'library'), 0.010238907849829351)
(('recycling', 'nightclub'), 0.010238907849829351)
(('bar', 'recycling'), 0.010238907849829351)
(('recycling', 'car_wash'), 0.010238907849829351)
(('shelter', 'drinking_water'), 0.010174418604651164)
(('parking', 'theatre'), 0.010074318744838976)
(('waste_disposal', 'community_centre'), 0.009925558312655087)
(('waste_disposal', 'veterinary'), 0.009925558312655087)
(('dentist', 'waste_disposal'), 0.009925558312655087)
(('marketplace', 'waste_disposal'), 0.009925558312655087)
(('telephone', 'waste_disposal'), 0.009925558312655087)
(('cafe', 'waste_disposal'), 0.009925558312655087)
(('courthouse', 'parking'), 0.009248554913294798)
(('pharmacy', 'community_centre'), 0.009174311926605505)
(('pharmacy', 'parking_space'), 0.009174311926605505)
(('pharmacy', 'monastery'), 0.009174311926605505)
(('public_building', 'pharmacy'), 0.009174311926605505)
(('pharmacy', 'beater'), 0.009174311926605505)
(('parking', 'veterinary'), 0.008918249380677127)
(('payment_terminal', 'bicycle_rental'), 0.008849557522123894)
(('studio', 'bicycle_rental'), 0.008849557522123894)
(('townhall', 'bicycle_rental'), 0.008849557522123894)
(('bicycle_repair_station', 'bicycle_rental'), 0.008849557522123894)
(('metal_scrap', 'bicycle_rental'), 0.008849557522123894)
(('music_school', 'bicycle_rental'), 0.008849557522123894)
(('doctors', 'bicycle_rental'), 0.008849557522123894)
(('language_school', 'bicycle_rental'), 0.008849557522123894)
(('advertising', 'bicycle_rental'), 0.008849557522123894)
(('bicycle_rental', 'college'), 0.008849557522123894)
(('beater', 'bicycle_rental'), 0.008849557522123894)
(('payment_terminal', 'restaurant'), 0.008450704225352112)
(('restaurant', 'lombard_banking'), 0.008450704225352112)
(('restaurant', 'metal_scrap'), 0.008450704225352112)
(('restaurant', 'courthouse'), 0.008450704225352112)
(('bicycle_parking', 'drinking_water'), 0.008426966292134831)
(('bicycle_parking', 'police'), 0.008426966292134831)
(('bicycle_parking', 'parking_space'), 0.008426966292134831)
(('bbq', 'bicycle_parking'), 0.008426966292134831)
(('bicycle_parking', 'beater'), 0.008426966292134831)
(('parking', 'car_wash'), 0.008422791081750619)
(('school', 'bicycle_repair_station'), 0.00819672131147541)
(('school', 'police'), 0.00819672131147541)
(('fountain', 'school'), 0.00819672131147541)
(('post_box', 'school'), 0.00819672131147541)
(('post_office', 'school'), 0.00819672131147541)
(('school', 'community_centre'), 0.00819672131147541)
(('events_venue', 'place_of_worship'), 0.008130081300813009)
(('marketplace', 'place_of_worship'), 0.008130081300813009)
(('place_of_worship', 'hospital'), 0.008130081300813009)
(('place_of_worship', 'bureau_de_change'), 0.008130081300813009)
(('place_of_worship', 'bbq'), 0.008130081300813009)
(('place_of_worship', 'clock'), 0.008130081300813009)
(('arts_centre', 'place_of_worship'), 0.008130081300813009)
(('place_of_worship', 'language_school'), 0.008130081300813009)
(('toilets', 'place_of_worship'), 0.008130081300813009)
(('place_of_worship', 'veterinary'), 0.008130081300813009)
(('college', 'place_of_worship'), 0.008130081300813009)
(('theatre', 'place_of_worship'), 0.008130081300813009)
(('place_of_worship', 'biergarten'), 0.008130081300813009)
(('public_building', 'place_of_worship'), 0.008130081300813009)
(('waste_basket', 'community_centre'), 0.007874015748031496)
(('waste_basket', 'theatre'), 0.007874015748031496)
(('cafe', 'waste_basket'), 0.007874015748031496)
(('fountain', 'waste_basket'), 0.007874015748031496)
(('waste_basket', 'police'), 0.007874015748031496)
(('university', 'waste_basket'), 0.007874015748031496)
(('food_court', 'waste_basket'), 0.007874015748031496)
(('waste_basket', 'beater'), 0.007874015748031496)
(('waste_basket', 'car_wash'), 0.007874015748031496)
(('place_of_worship', 'kindergarten'), 0.0078125)
(('university', 'kindergarten'), 0.0078125)
(('kindergarten', 'toilets'), 0.0078125)
(('bench', 'nightclub'), 0.0078125)
(('cinema', 'bench'), 0.0078125)
(('parking_space', 'restaurant'), 0.0078125)
(('theatre', 'kindergarten'), 0.0078125)
(('arts_centre', 'bench'), 0.0078125)
(('fast_food', 'kindergarten'), 0.0078125)
(('embassy', 'kindergarten'), 0.0078125)
(('arts_centre', 'kindergarten'), 0.0078125)
(('ice_cream', 'kindergarten'), 0.0078125)
(('language_school', 'kindergarten'), 0.0078125)
(('bureau_de_change', 'kindergarten'), 0.0078125)
(('bench', 'telephone'), 0.0078125)
(('kindergarten', 'fountain'), 0.0078125)
(('kindergarten', 'community_centre'), 0.0078125)
(('bench', 'vacuum_cleaner'), 0.0078125)
(('bench', 'compressed_air'), 0.0078125)
(('doctors', 'kindergarten'), 0.0078125)
(('grave_yard', 'parking_space'), 0.0078125)
(('bicycle_repair_station', 'kindergarten'), 0.0078125)
(('police', 'parking'), 0.007597027250206441)
(('veterinary', 'cafe'), 0.007575757575757576)
(('scrapyard', 'cafe'), 0.007575757575757576)
(('events_venue', 'cafe'), 0.007575757575757576)
(('community_centre', 'cafe'), 0.007575757575757576)
(('university', 'cafe'), 0.007575757575757576)
(('cafe', 'monastery'), 0.007575757575757576)
(('cafe', 'biergarten'), 0.007575757575757576)
(('cafe', 'bbq'), 0.007575757575757576)
(('townhall', 'atm'), 0.007547169811320755)
(('studio', 'atm'), 0.007547169811320755)
(('music_school', 'atm'), 0.007547169811320755)
(('atm', 'parking_space'), 0.007547169811320755)
(('bbq', 'atm'), 0.007547169811320755)
(('advertising', 'atm'), 0.007547169811320755)
(('waste_disposal', 'toilets'), 0.007444168734491315)
(('bureau_de_change', 'waste_disposal'), 0.007444168734491315)
(('theatre', 'waste_disposal'), 0.007444168734491315)
(('bus_station', 'waste_disposal'), 0.007444168734491315)
(('waste_disposal', 'public_building'), 0.007444168734491315)
(('waste_disposal', 'parking_entrance'), 0.007444168734491315)
(('recycling', 'veterinary'), 0.006825938566552901)
(('recycling', 'pub'), 0.006825938566552901)
(('recycling', 'theatre'), 0.006825938566552901)
(('recycling', 'cafe'), 0.006825938566552901)
(('recycling', 'parking_entrance'), 0.006825938566552901)
(('recycling', 'beater'), 0.006825938566552901)
(('veterinary', 'fast_food'), 0.006535947712418301)
(('fast_food', 'metal_scrap'), 0.006535947712418301)
(('arts_centre', 'fast_food'), 0.006535947712418301)
(('fast_food', 'driving_school'), 0.006535947712418301)
(('advertising', 'bench'), 0.006510416666666667)
(('bench', 'veterinary'), 0.006510416666666667)
(('scrapyard', 'bank'), 0.006493506493506494)
(('university', 'bank'), 0.006493506493506494)
(('monastery', 'bank'), 0.006493506493506494)
(('college', 'bank'), 0.006493506493506494)
(('bank', 'fuel'), 0.006493506493506494)
(('college', 'parking'), 0.006440957886044592)
(('parking', 'arts_centre'), 0.006440957886044592)
(('parking', 'cinema'), 0.006440957886044592)
(('parking', 'parking_space'), 0.006275805119735756)
(('parking', 'telephone'), 0.006275805119735756)
(('parking', 'clock'), 0.006275805119735756)
(('charging_station', 'parking_entrance'), 0.006060606060606061)
(('theatre', 'parking_entrance'), 0.006060606060606061)
(('pub', 'parking_entrance'), 0.006060606060606061)
(('post_office', 'parking_entrance'), 0.006060606060606061)
(('library', 'parking_entrance'), 0.006060606060606061)
(('parking_entrance', 'clock'), 0.006060606060606061)
(('police', 'parking_entrance'), 0.006060606060606061)
(('doctors', 'parking_entrance'), 0.006060606060606061)
(('parking_entrance', 'place_of_worship'), 0.006060606060606061)
(('parking_space', 'parking_entrance'), 0.006060606060606061)
(('veterinary', 'shelter'), 0.005813953488372093)
(('shelter', 'marketplace'), 0.005813953488372093)
(('studio', 'shelter'), 0.005813953488372093)
(('shelter', 'townhall'), 0.005813953488372093)
(('shelter', 'community_centre'), 0.005813953488372093)
(('shelter', 'music_school'), 0.005813953488372093)
(('shelter', 'nightclub'), 0.005813953488372093)
(('shelter', 'bbq'), 0.005813953488372093)
(('townhall', 'restaurant'), 0.005633802816901409)
(('restaurant', 'marketplace'), 0.005633802816901409)
(('studio', 'restaurant'), 0.005633802816901409)
(('restaurant', 'clinic'), 0.005633802816901409)
(('bicycle_parking', 'monastery'), 0.0056179775280898875)
(('bicycle_parking', 'fuel'), 0.0056179775280898875)
(('social_facility', 'bicycle_parking'), 0.0056179775280898875)
(('parking', 'ice_cream'), 0.0054500412881915775)
(('doctors', 'vending_machine'), 0.005235602094240838)
(('veterinary', 'vending_machine'), 0.005235602094240838)
(('car_rental', 'vending_machine'), 0.005235602094240838)
(('vending_machine', 'lombard_banking'), 0.005235602094240838)
(('parking_space', 'vending_machine'), 0.005235602094240838)
(('language_school', 'vending_machine'), 0.005235602094240838)
(('vending_machine', 'advertising'), 0.005235602094240838)
(('vending_machine', 'public_building'), 0.005235602094240838)
(('social_facility', 'vending_machine'), 0.005235602094240838)
(('food_court', 'vending_machine'), 0.005235602094240838)
(('ice_cream', 'vending_machine'), 0.005235602094240838)
(('vending_machine', 'beater'), 0.005235602094240838)
(('vending_machine', 'driving_school'), 0.005235602094240838)
(('vending_machine', 'compressed_air'), 0.005235602094240838)
(('vending_machine', 'dentist'), 0.005235602094240838)
(('waste_disposal', 'car_wash'), 0.004962779156327543)
(('waste_disposal', 'food_court'), 0.004962779156327543)
(('waste_disposal', 'cinema'), 0.004962779156327543)
(('parking_space', 'waste_disposal'), 0.004962779156327543)
(('parking', 'marketplace'), 0.004789430222956234)
(('metal_scrap', 'pharmacy'), 0.0045871559633027525)
(('university', 'pharmacy'), 0.0045871559633027525)
(('music_school', 'pharmacy'), 0.0045871559633027525)
(('pharmacy', 'college'), 0.0045871559633027525)
(('arts_centre', 'pharmacy'), 0.0045871559633027525)
(('pharmacy', 'advertising'), 0.0045871559633027525)
(('pharmacy', 'telephone'), 0.0045871559633027525)
(('fire_station', 'pharmacy'), 0.0045871559633027525)
(('pharmacy', 'bar'), 0.0045871559633027525)
(('pharmacy', 'fuel'), 0.0045871559633027525)
(('pharmacy', 'driving_school'), 0.0045871559633027525)
(('pharmacy', 'ice_cream'), 0.0045871559633027525)
(('social_facility', 'parking'), 0.004459124690338563)
(('police', 'shelter'), 0.00436046511627907)
(('ice_cream', 'shelter'), 0.00436046511627907)
(('language_school', 'shelter'), 0.00436046511627907)
(('social_facility', 'shelter'), 0.00436046511627907)
(('shelter', 'beater'), 0.00436046511627907)
(('parking', 'monastery'), 0.0042939719240297275)
(('parking', 'clinic'), 0.004128819157720892)
(('public_building', 'school'), 0.004098360655737705)
(('hospital', 'school'), 0.004098360655737705)
(('school', 'fire_station'), 0.004098360655737705)
(('clock', 'school'), 0.004098360655737705)
(('school', 'library'), 0.004098360655737705)
(('studio', 'school'), 0.004098360655737705)
(('townhall', 'school'), 0.004098360655737705)
(('fuel', 'school'), 0.004098360655737705)
(('cafe', 'school'), 0.004098360655737705)
(('bureau_de_change', 'school'), 0.004098360655737705)
(('cinema', 'school'), 0.004098360655737705)
(('school', 'lombard_banking'), 0.004098360655737705)
(('nightclub', 'school'), 0.004098360655737705)
(('school', 'monastery'), 0.004098360655737705)
(('bar', 'school'), 0.004098360655737705)
(('theatre', 'school'), 0.004098360655737705)
(('place_of_worship', 'school'), 0.004098360655737705)
(('food_court', 'bench'), 0.00390625)
(('fountain', 'parking_space'), 0.00390625)
(('doctors', 'parking_space'), 0.00390625)
(('bureau_de_change', 'parking_space'), 0.00390625)
(('parking_space', 'place_of_worship'), 0.00390625)
(('bench', 'courthouse'), 0.00390625)
(('kindergarten', 'parking_space'), 0.00390625)
(('atm', 'lombard_banking'), 0.0037735849056603774)
(('bus_station', 'atm'), 0.0037735849056603774)
(('telephone', 'atm'), 0.0037735849056603774)
(('financial_advice', 'atm'), 0.0037735849056603774)
(('atm', 'monastery'), 0.0037735849056603774)
(('atm', 'biergarten'), 0.0037735849056603774)
(('fire_station', 'atm'), 0.0037735849056603774)
(('compressed_air', 'atm'), 0.0037735849056603774)
(('atm', 'driving_school'), 0.0037735849056603774)
(('bbq', 'parking'), 0.003633360858794385)
(('recycling', 'police'), 0.0034129692832764505)
